# dialogue chunk 0017  entries 6401-6800 of 10370
# seq	block	idx	speaker	source	target
6401	map179_8587002e	0	char_jit_map179_1_0_210	And an honorable one, at that.\nHe deserves to be treated with respect.	而且还是个可敬的人。\n他值得受人尊重。
6402	map179_2be91278	0	char_ulric	I don't believe you.	我不信你。
6403	map179_9c4ce64d	0	char_jit_map179_1_0_210	Most people don't. His parents chose the name.\nIf anything, it keeps the assassins looking for the wrong person.\nTry and tell me you weren't looking for a female when you entered.	大多数人都不会信。这名字是他父母取的。\n真要说的话，这倒能让刺客们找错目标。\n你敢说，你刚进来的时候不是在找一个女人？
6404	map179_ab05e3d7	0		Ulric shrugs. Drakeor had a point, though.	乌尔里克耸了耸肩。不过德雷克说得有道理。
6405	map179_77e2393d	0	char_ulric	Let's get this over with, then.\nWe need to talk about securing an alliance.\nThen, we'll do the same with Draycu, and take the best deal.	那就赶紧把这事办了吧。\n我们得先谈谈结盟的事。\n然后再去找德雷库谈同样的条件，选更好的那笔交易。
6406	map179_327edb52	0		Vivien approaches us, and stands beside Drakeor.	薇薇安朝我们走来，站到了德雷克身旁。
6407	map179_3514472d	0	char_jit_map179_1_0_78	You told them? I was having fun, Drakeor.\nThat's in short supply these days. Thanks a lot.	你都告诉他们了？我正玩得开心呢，德雷克。\n这种乐子最近可不多见。真是多谢你了。
6408	map179_5c634fe7	0	char_jit_map179_1_0_210	They're on a strict schedule, Vivien.\nThe ball opens up in a matter of hours.\nRemember, you still have a move to make.	他们的行程排得很紧，薇薇安。\n再过几个小时，舞会就要开始了。\n记住，你还有一步棋要走。
6409	map179_644dd8c7	0	char_jit_map179_1_0_78	Right, right. A challenge at the ball.\nMove aside, I'll explain our plan to Ulric.\nIf he has any sense, he'll aid our cause.	对，对。在舞会上发起挑战。\n让开，我来跟乌尔里克解释我们的计划。\n他要是有点头脑，就会助我们一臂之力。
6410	map179_f27f063c	0		Drakeor nods, and steps aside.{w}\nOur comrades gather around, having realized what's going on.	德雷克点点头，退到一旁。{w}\n我们的同伴意识到发生了什么事，纷纷围了过来。
6411	map179_96450e63	0	char_fortaime	So Vivien is a guy...?	所以薇薇安是个男的……？
6412	map179_80a8198b	0	char_valessa	I guess so. But don't say that too loud.\nSomething tells me it's not common knowledge.	好像是吧。不过别说得太大声。\n我总觉得，这可不是人尽皆知的事。
6413	map179_0fca0166	0	char_pro	Very smart. Helps you stay incognito.\nWe were all looking for a girl, weren't we?	很聪明。这样更容易隐姓埋名。\n我们之前不都在找一个女孩吗？
6414	map179_f91aba38	0	char_damek	Yeah, something like that.\nEither way, I'm glad this worked out.\nWe should probably talk terms with him.	是啊，差不多吧。\n不管怎么说，我很高兴事情有了着落。\n我们大概该跟他谈谈条件了。
6415	map179_a0253809	0	char_jit_map179_1_0_78	You have a nice group of comrades, Ulric.\nStart by telling me about {i}him{/i}, though.	你这群同伴不错，乌尔里克。\n不过，先跟我讲讲{i}他{/i}吧。
6416	map179_2d4d3e4f	0	char_jit_map179_1_0_78	You have a nice group of comrades, Ulric.\nStart by telling me about {i}her{/i}, though.	你这群同伴不错，乌尔里克。\n不过，先跟我讲讲{i}她{/i}吧。
6417	map179_4a65b744	0		Vivien stares at me. That was a reasonable request.{w}\nMy position beside Ulric implied we were closer than the rest.	薇薇安盯着我。这要求合情合理。{w}\n我站在乌尔里克身边，暗示着我们的关系比其他人更近。
6418	map179_eebb0662	0	char_ulric	This is The Monarch. Heir to the throne of Alestia.\nAfter we take down The Triumvirate, this is his world.\nA crazy claim, I know — but we have proof of everything.	这位是君主。阿莱斯蒂亚王位的继承人。\n等我们扳倒三人执政团，这个世界就是他的。\n我知道这说法听起来很疯狂——但每件事我们都有证据。
6419	map179_faf340de	0	char_ulric	This is The Monarch. Heir to the throne of Alestia.\nAfter we take down The Triumvirate, this is her world.\nA crazy claim, I know — but we have proof of everything.	这位是君主。阿莱斯蒂亚王位的继承人。\n等我们扳倒三人执政团，这个世界就是她的。\n我知道这说法听起来很疯狂——但每件事我们都有证据。
6420	map179_47c266f1	0		Vivien blinks a few times, clearly confused.	薇薇安眨了几下眼，显然一头雾水。
6421	map179_546332ec	0	char_jit_map179_1_0_78	Let's continue under the assumption that I understand.\nAt the end of the day, you want my army to aid you, right?	那就假设我听懂了，我们继续吧。\n说到底，你是想让我出兵帮你们，对吧？
6422	map179_5db4e033	0	char_ulric	Right.	没错。
6423	map179_e41bcf54	0	char_jit_map179_1_0_78	Well, this is where it gets a bit weird.\nI want your army just as much as you want mine.\nMaybe we can come to some sort of conclusion...?	嗯，这里就有点奇妙了。\n我需要你的军队，就像你需要我的一样。\n也许我们能谈出个结果来……？
6424	map179_7818a6f8	0	char_ulric	Go on.	继续说。
6425	map179_5e216110	0	char_jit_map179_1_0_78	I'm going to Draycu's ball and challenging him.\nTomorrow, I plan to be fighting for the throne.\nWe'll do it right. One last fight in the coliseum.	我要去德雷库的舞会，向他发起挑战。\n明天，我打算为争夺王位而战。\n我们会按规矩来。在竞技场上打最后一场。
