# dialogue chunk 0011  entries 4001-4400 of 10370
# seq	block	idx	speaker	source	target
4001	map240_d2c8a924	0		He clutches the pendent close to his chest.	他把吊坠紧紧贴在胸前。
4002	map240_c85dd972	0	char_damek	Would you sit with me, [firstname]?\nWe might be here for a while, after all.	你愿意陪我坐一会儿吗，[firstname]？\n毕竟，我们可能要在这里待上一阵子。
4003	map240_1ee64159	0		He sits down on the ground, attracting stares from a few passers-by.{w}\nI join him, caring more for his well-being than the judgment of those around us.{w}\nLooking down at the ground, he places the pendent down, and moves it around slightly.	他在地上坐下，引来几个路人的注视。{w}\n我在他身旁坐下，比起旁人的眼光，我更在意他的身心。{w}\n他低头看着地面，把吊坠放下，又轻轻拨弄了几下。
4004	map240_40fe3e57	0	char_damek	It was... right here, I think.\nYou never really forget, you know?\nI hope it's not weird to sit here with me.	就是……这里吧，我想。\n有些事你永远不会真的忘记，你知道吗？\n希望陪我坐在这儿不会让你觉得奇怪。
4005	map240_2f75bc8d	0		I shake my head, and let him do what he needs to do.	我摇了摇头，让他去做他需要做的事。
4006	map240_2dd1949b	0	char_damek	Coming here, to face what happened — I needed to do this.\nBut now I'm not sure what to do next. I mean, with the pendent.\nDo I leave it behind...? Just like my memories? Or do I hold on?	回到这里，去面对发生过的事——这是我必须做的。\n但事到如今，我不确定接下来该怎么做。我是说，这枚吊坠。\n我该把它留下吗……？就像我的记忆一样？还是该继续留着？
4007	map240_db37cb9f	0		That was a good question, and I can tell it's bothering him.	这是个好问题，我看得出它正困扰着他。
4008	map240_8f1ce67f	0	char_damek	I'm sure someone will just come around and steal it, anyway.\nBut maybe that's for the best. It can be somebody else's burden.\nI think I've grown tired of carrying it around for my entire life.	反正总会有人路过把它偷走的。\n但也许那样最好。让它成为别人的负担吧。\n我想，我已经厌倦了一辈子都带着它。
4009	map240_a7a88a6e	0	char_damek	However, I also don't want to regret doing this.\nI could be acting rashly in the face of our final battle.\nIt wouldn't be the first time somebody has done that, you know?	可是，我也不想为这件事后悔。\n面对最后的决战，我可能是在冲动行事。\n这种傻事，别人也不是第一次干了，你懂吗？
4010	map240_89f7083a	0		I nod, and let him speak. 	我点点头，让他继续说下去。
4011	map240_b89c46f2	0	char_damek	Look at me. The world is at stake, and I'm worried about {i}this{/i}.\nYou know what? With everything you've done for us — I trust you.\nWhat do you think I should do, [firstname]? Take it, or leave it...?	看看我。世界都危在旦夕了，我却在为{i}这个{/i}发愁。\n你知道吗？看在你为我们做的一切份上——我信你。\n你觉得我该怎么做，[firstname]？带走，还是留下……？
4012	map240_e3825fb8	0	char_damek	Besides, I'm a bit biased here in almost every regard.\nYour head is more clear than mine, so it's worth a shot.\nWhat do you think I should do here? What's the right choice?	再说，这件事我几乎在各方面都夹带着私心。\n你比我头脑清醒，所以值得一试。\n你觉得我该怎么做？什么才是正确的选择？
4013	map240_4dd3be53	0	char_damek	You're probably right; and I don't want to make a mistake.\nPerhaps just coming here after all those years was enough.\nYou have no idea how much this means to me, [firstname].	你说得大概没错；我不想犯错。\n也许隔了这么多年，光是回到这里就已经足够了。\n你根本不知道这对我来说意味着什么，[firstname]。
4014	map240_37a2292a	0		He picks the pendent up off the ground, and clutches it in his hand.{w}\nWe both stand up, and turn back in the direction we came from.	他把吊坠从地上拾起，攥在手心。{w}\n我们双双站起，转身朝来时的方向走去。
4015	map240_6fe4e376	0	char_damek	You're right. I think this is something I need to do.\nIt'll be hard, but I need to move on. I can't hold myself back.\nWe're fighting to liberate our world, and push forward, right?	你说得对。我想这件事我必须去做。\n会很难，但我得向前看。我不能拖住自己。\n我们是在为解放这个世界而战，要一路向前，对吧？
4016	map240_9215ec03	0	char_damek	It's a bit hypocritical for me to do the opposite to myself.\nI hope whoever picks it up goes on to take good care of it.\nIt means a lot to me, and I hope it can do that for others, too.	要是我对自己做相反的事，那就有点虚伪了。\n希望捡到它的人能好好珍惜。\n它对我来说意义重大，也希望它能为别人带来同样的意义。
4017	map240_577fff9e	0		He places his hand on the pendent, touching it one last time.	他把手覆在吊坠上，最后一次触碰它。
4018	map240_b5433931	0	char_damek	It's time for me to let go, Mother.\nThis was always yours. I was just... holding on to it for a while.\nI'll miss you, always. But your sacrifice for me will {i}never{/i} be forgotten.	是时候放手了，母亲。\n它一直都是你的。我只是……替你保管了一阵子。\n我会永远想念你。但你为我所做的牺牲，{i}永远{/i}不会被遗忘。
4019	map240_a67335a3	0		He smiles, and lets go of the pendent. It shimmers in the sun.{w}\nWe both stand up, and turn back in the direction we came from.	他笑了笑，松开了吊坠。它在阳光下微微闪光。{w}\n我们双双站起，转身朝来时的方向走去。
4020	map240_d10412c1	0	char_damek	Well then, should we get going?	那么，我们该走了吗？
4021	map240_20eadd97	0		I nod, and we start walking back the way we came.{w}\nBut Damek looks much happier and content than he did earlier.{w}\nPerhaps the events of today would give him a clear mind in the future.	我点点头，我们沿着来路往回走。{w}\n但达梅克看起来比刚才开心、满足了许多。{w}\n也许今天的事，会让他在将来保持清醒的头脑。
4022	map240_9fc348f5	0		As our final battle was imminent — we would find out sooner rather than later.	最后的决战近在眼前——答案很快就会揭晓。
