file	old_mode	new_mode	old_alpha(0/opaque/partial)%	new_alpha(0/opaque/partial)%	strong_diff%	strong_bbox	visible_mean_old	visible_mean_new	visible_mean_absdiff	visible_cover%
AlarinMapColi.png	RGBA	RGB	0.0/100.0/0.0	-	0.84	(238, 196, 1120, 651)	['-']	['-']	4.7	100.0
AlarinMapDesert.png	RGBA	RGB	0.0/100.0/0.0	-	0.48	(231, 249, 1111, 639)	['-']	['-']	3.6	100.0
BalteusMap1.png	RGBA	RGB	0.0/100.0/0.0	-	0.57	(351, 157, 1130, 622)	['-']	['-']	4.2	100.0
BalteusMap2.png	RGBA	RGB	0.0/100.0/0.0	-	1.07	(111, 160, 1130, 589)	['-']	['-']	4.8	100.0
RebelHQMap.png	RGBA	RGB	0.0/100.0/0.0	-	0.62	(68, 71, 1214, 692)	['-']	['-']	5.5	100.0
ValinorthMap.png	RGBA	RGB	0.0/100.0/0.0	-	0.9	(266, 132, 1110, 619)	['-']	['-']	4.0	100.0
b0001.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.2/0.7	40.01	(0, 0, 1280, 720)	[162, 129, 77]	[156, 125, 76]	23.4	67.1
b0002.png	RGBA	RGBA	32.1/67.1/0.8	22.0/67.3/10.7	31.83	(0, 0, 1280, 720)	[158, 129, 79]	[156, 124, 74]	21.1	67.1
b0003.png	RGBA	RGBA	32.1/67.1/0.8	31.9/67.3/0.8	42.05	(0, 0, 1280, 720)	[170, 135, 81]	[162, 130, 84]	28.2	67.1
b0004.png	RGBA	RGBA	32.1/67.1/0.8	31.3/67.2/1.4	39.82	(0, 0, 1280, 720)	[157, 125, 74]	[157, 124, 77]	21.1	67.1
b0005.png	RGBA	RGBA	32.1/67.1/0.8	31.9/67.3/0.8	41.33	(0, 0, 1280, 720)	[168, 136, 86]	[159, 125, 77]	29.2	67.1
b0006.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.2/0.7	38.55	(0, 0, 1280, 720)	[154, 124, 75]	[157, 124, 75]	20.6	67.1
b0007.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.3/0.7	39.75	(0, 0, 1280, 720)	[155, 126, 77]	[157, 124, 75]	24.1	67.1
b0008.png	RGBA	RGBA	32.1/67.1/0.8	30.4/67.2/2.4	39.83	(0, 0, 1280, 720)	[171, 138, 87]	[161, 127, 80]	29.3	67.1
b0009.png	RGBA	RGBA	32.1/67.1/0.8	32.1/67.2/0.7	40.21	(0, 0, 1280, 720)	[169, 136, 84]	[157, 124, 75]	29.3	67.1
b0010.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.2/0.7	37.32	(0, 0, 1280, 720)	[162, 129, 76]	[159, 124, 73]	17.2	67.1
b0011.png	RGBA	RGBA	32.1/67.3/0.7	31.9/67.3/0.7	40.51	(0, 0, 1280, 720)	[174, 140, 88]	[162, 127, 79]	31.9	67.2
b0012.png	RGBA	RGBA	32.1/67.1/0.8	32.1/67.2/0.7	39.69	(0, 0, 1280, 720)	[162, 128, 79]	[156, 123, 75]	23.2	67.1
b0013.png	RGBA	RGBA	32.1/67.1/0.8	32.1/67.2/0.7	7.33	(0, 0, 1280, 720)	[165, 132, 80]	[158, 125, 75]	22.3	67.1
b0014.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.3/0.7	40.68	(0, 0, 1280, 720)	[173, 137, 81]	[163, 129, 81]	27.5	67.1
b0015.png	RGBA	RGBA	32.1/67.1/0.8	32.1/67.2/0.7	37.59	(0, 0, 1280, 720)	[167, 132, 80]	[159, 124, 74]	20.3	67.1
b0016.png	RGBA	RGBA	32.1/67.3/0.7	31.9/67.3/0.7	39.29	(0, 0, 1280, 720)	[160, 125, 72]	[158, 125, 77]	21.8	67.2
b0017.png	RGBA	RGBA	32.1/67.1/0.8	32.0/67.2/0.7	36.02	(0, 0, 1280, 720)	[158, 126, 74]	[159, 125, 73]	12.2	67.1
tut001.png	RGBA	RGB	34.9/2.2/62.9	-	6.06	(148, 68, 1172, 656)	['-']	['-']	9.8	100.0
tut003.png	RGBA	RGB	24.1/3.1/72.9	-	3.4	(301, 90, 984, 639)	['-']	['-']	6.6	100.0
tut005.png	RGBA	RGB	12.6/19.0/68.4	-	5.71	(71, 8, 1272, 711)	['-']	['-']	11.6	100.0
tut006.png	RGBA	RGB	12.6/19.7/67.7	-	7.45	(52, 8, 1114, 676)	['-']	['-']	14.9	100.0
