# dialogue chunk 0005  entries 1601-2000 of 10370
# seq	block	idx	speaker	source	target
1601	map231_3ddece12	0	char_sovy	Flippant as usual, I see.\nListen — you need to learn more about that blade.\nYour life is on the line, so you need to start caring.	我看你还是老样子，油嘴滑舌的。\n听着——你需要多了解那把剑。\n你的命都搭在上面了，所以你得开始上心了。
1602	map231_7f6ea1bb	0		Without saying another word, he walks to the back alley.{w}\nI follow after him, ready to learn more about The Blade of Exodus.{w}\nWhen we arrive, I start to ask him questions. Mainly about its origin.	他一言不发地走向后巷。{w}\n我跟在他身后，准备好更多地了解流亡之刃。{w}\n抵达之后，我开始向他提问，主要是关于它的来历。
1603	map231_ddcc4a76	0	char_sovy	I couldn't tell you. It's a mystery, even to me.\nPerhaps they stole it from The Monarchy before they took over.\nI've heard that they had visions, too. Much like the blade can supply.	我说不上来。这对我来说也是个谜。\n也许他们是在夺权之前从王室手里偷来的。\n我听说他们也能看到幻象，就像那把剑能提供的那样。
1604	map231_acaf3dc5	0	char_sovy	If that's not the truth, then perhaps they made it themselves.\nBut I'm starting to think they either stole it, or stumbled upon it.\nStealing isn't above them, as we've all been made aware of.	如果事实并非如此，那也许就是他们自己造的。\n但我开始觉得，他们要么是偷来的，要么是偶然发现的。\n偷窃这种事他们干得出来，我们都已经领教过了。
1605	map231_b57271d2	0		He shakes his head, as if he's upset that he can't sate my curiosity.{w}\nBut that's fine — perhaps it's something we'd find out when we went to Balteus.	他摇了摇头，似乎因为无法满足我的好奇心而有些懊恼。{w}\n不过没关系——也许等我们去巴尔泰乌斯的时候就能弄清楚了。
1606	map231_dbcaec0c	0	char_sovy	This is probably the first trick I should teach you.	这大概是我该教你的第一招。
1607	map231_03e76b38	0		He holds out a close fist, and my blade soon appears in his hand.{w}\nI've seen that happen several times. Almost like he can summon it at any time.	他握紧拳头伸出来，我的剑随即出现在他手中。{w}\n我见过好几次了，几乎像是他随时都能把它召唤过来。
1608	map231_185a8457	0	char_sovy	You have to be near the blade for it to work, but it's useful.\nDisarming your enemy is a viable tactic in battle, so be ready.\nThey will try to take the blade away from you, because of its power.	你得靠近那把剑才能做到，但这招很有用。\n缴械敌人是战斗中可行的战术，所以做好准备。\n他们会想从你手里夺走那把剑，因为它蕴含的力量。
1609	map231_8ce61eb8	0		I nod.	我点点头。
1610	map231_f26e1173	0	char_sovy	Go ahead. Hold out your hand and reach for the blade.\nNot with your body, but with your mind. See if it works.	来吧。伸出手，去够那把剑。\n不是用身体，而是用你的意念。看看能不能奏效。
1611	map231_cabe01b3	0		I close my eyes, and hold out my hand.{w}\nSovy immediately chastises me with the blunt side of the blade.{w}\nHitting it against my hand, I wince slightly and shake away the pain.	我闭上眼，伸出手。{w}\n索维立刻用剑的钝面教训了我。{w}\n剑身拍在我手上，我微微一缩，甩掉疼痛。
1612	map231_9b8e5375	0	char_sovy	No. Never close your eyes in battle.\nDid you not learn anything about combat in Valinorth...?\nIf you did that in a real battle, you'd be dead in mere seconds.	不行。战斗中绝不能闭眼。\n你在瓦利诺斯就没学到任何关于战斗的东西吗……？\n要是在真正的战斗中这么做，你几秒钟就没命了。
1613	map231_8619f2c6	0		I shrug.	我耸耸肩。
1614	map231_b4001e42	0	char_sovy	Now do it again. And look me in the eye.\nI have no use for you if you can't follow directions.	再来一次。看着我的眼睛。\n要是你连指示都照做不了，你对我来说就没用。
1615	map231_f94aadc1	0		Doing as instructed, I look him in the eye.{w}\nI focus as hard as I can, and try to summon the blade.{w}\nBut after a few moments, nothing happens. Nothing at all.	我照着他的话做，直视他的眼睛。{w}\n我尽全力集中精神，试着召唤那把剑。{w}\n可过了片刻，什么也没发生。一点动静都没有。
1616	map231_961f6d8c	0	char_sovy	Try harder. Like your life depends on it.\nBecause when you need to do this — it will.	再用力些。就当你的命系于其上。\n因为当你真需要这么做的时候——确实如此。
1617	map231_acd9a255	0		I scoff softly, but try not to break the gaze.{w}\nHe squints, as if he's judging my movements.{w}\nBut after even more time — nothing happens.	我轻哼一声，但尽量不移开视线。{w}\n他眯起眼，像是在审视我的动作。{w}\n可又过了更久——依然什么也没发生。
1618	map231_5e24793c	0	char_sovy	I guess you need a little incentive.	看来你需要一点刺激。
1619	map231_20da4217	0		Without any warning, he reaches behind himself.{w}\nPulling a dagger from the leather straps on his back, he attacks me.{w}\nI take a defensive stance, and before he can harm me, I have possession of the blade.	毫无预警地，他伸手探向身后。{w}\n从背后的皮带里抽出一把匕首，向我攻来。{w}\n我摆出防御姿态，在他伤到我之前，剑已落入我手中。
1620	map231_a5887330	0		It appears in my hand, at the perfect angle and position to deflect Sovy's assault.{w}\nHis dagger is in deadlock with my blade, and he pushes me back against the alley wall.	它以完美的角度和位置出现在我手中，正好挡下索维的攻击。{w}\n他的匕首与我的剑僵持不下，他把我逼退到巷子的墙上。
1621	map231_e8b47a0b	0	char_sovy	So it's your fear that powers you...	所以驱动你的是恐惧……
1622	map231_94d6c6ff	0		After a few moments, he backs off, and puts away the dagger.	片刻之后，他退开，收起匕首。
1623	map231_7c08fe4b	0	char_sovy	I was the same, until I mastered my fears.\nThen the blade responded to my willpower. My resolve.\nIt can learn and grow, just as much as you can, [firstname].	我也是这样，直到我驾驭了自己的恐惧。\n之后那把剑便回应我的意志，我的决心。\n它能学习和成长，就像你一样，[firstname]。
1624	map231_100677e8	0	char_sovy	If you learn to remain calm in the face of battle — you'll do fine.\nWithout fear to rely on, the blade will find something else.\nWhat that is, however, is different from person to person.	如果你学会在战斗面前保持冷静——你会做得很好。\n一旦没了恐惧可以依赖，剑会寻找别的东西。\n但那究竟是什么，因人而异。
1625	map231_a5972aff	0	char_sovy	I'm eager to see what kind of person you become.\nFor now, let's continue on our way. No more wasting time.\nWhen we have another moment together, I can teach you more.	我迫不及待想看看你会成为什么样的人。\n眼下，我们继续赶路吧。别再浪费时间了。\n等我们再有机会独处，我可以多教你一些。
1626	map231_852a1e39	0		He smiles and leaves the alleyway. I remain there by myself.{w}\nIt was hard {i}not{/i} to be scared, given my situation, and the upcoming battle.{w}\nBut if mastering those emotions made me a better wielder, then I had to try.	他笑了笑，离开了巷子。我独自留在那里。{w}\n考虑到我的处境和即将到来的战斗，要做到{i}不{/i}害怕很难。{w}\n但如果驾驭这些情绪能让我成为更好的持剑者，那我必须一试。
1627	map231_a7945040	0		I leave the alleyway, and replay the recent events in my mind.{w}\nMy eye trails over to the drawing utensils that Sovy pointed out earlier.{w}\nI wonder for a moment if I could get him a gift. A thank you for the lessons.	我离开巷子，在脑海里回放刚才发生的事。{w}\n我的目光落到索维先前指给我看的那些画具上。{w}\n我一时想着，能不能给他买件礼物，感谢他的教导。
1628	map231_ae62f86e	0		It seems harmless, so I stop and buy them on my way out of the town square.{w}\nI'd have to find the right chance to give them to him. It might take a while.{w}\nBut after that was said and done, it was time to get on my way.	看上去无伤大雅，于是我在离开城镇广场的路上停下来买下了它们。{w}\n我得找个合适的时机送给他，也许要等上一阵子。{w}\n但等这件事了结，我该继续上路了。
1629	map231_b870fb90	0		It probably wasn't a good idea, so I forget it and move on.{w}\nPerhaps another time — as right now I was very busy.{w}\nI leave the town square, ready to continue on my way.	这大概不是什么好主意，于是我把这念头抛在脑后，继续往前走。{w}\n也许下次吧——毕竟我现在很忙。{w}\n我离开城镇广场，准备好继续赶路。
1630	map066_b9be18f9	0		As soon as we enter the Tavern, the smell of ale assaults our noses.{w}\nThis wasn't anything like Peregrino. This was on an entirely different level.{w} \nBottles of foreign alcohol line the shelves, I'd have no idea where to start looking.	我们一踏进酒馆，麦酒的气味便扑面而来。{w}\n这跟佩雷格里诺完全不一样。这完全是另一个档次。{w}\n架子上摆满了外国酒，我根本不知道该从哪里看起。
1631	map066_aa0ec629	0	char_ulric	Good call, [firstname].\nNo trip to Mazeo is complete without coming here.\nIf it's time to relax for a bit, I'll just take a seat at the bar.	好主意，[firstname]。\n不来这儿，马泽奥之行就不算完整。\n要是该放松一会儿，我就直接坐吧台边了。
1632	map066_aa0ec629_1	0	char_ulric	Good call, [firstname].\nNo trip to Mazeo is complete without coming here.\nIf it's time to relax for a bit, I'll just take a seat at the bar.	好主意，[firstname]。\n不来这儿，马泽奥之行就不算完整。\n要是该放松一会儿，我就直接坐吧台边了。
1633	map066_6f1d0c94	0		He gives me a sly smirk, and immediately takes a seat.{w}\nA bartender, who I can only describe as overwhelmed, takes his order.{w}\nPro takes a few steps forward, and afterwards, takes a deep breath.	他冲我狡黠一笑，随即坐了下来。{w}\n一个我只能用忙得焦头烂额来形容的酒保来记下他的点单。{w}\n普洛往前走了几步，随后深吸一口气。
1634	map066_5de00f6c	0	char_pro	You just can't beat that smell!\nIf you need me, I'll just be checking my mail.\nI've been in Valinorth for a while. I'd hate to miss anything.	这味道真是无可匹敌！\n要是你找我，我就在那边查看信件。\n我在瓦利诺斯待了好一阵子，可不想错过什么消息。
1635	map066_30ba34fb	0		Trotting off to the corner, he starts to inspect his mailbox.{w}\nShelves with letters and numbers line the back corner of The Tavern.{w}\nHe must pay to have an anonymous address, or something like that.	他快步走到角落，开始翻看自己的信箱。{w}\n酒馆后角排着一列标有字母和数字的架子。{w}\n他一定是花钱弄了个匿名地址，或者类似的什么。
1636	map066_c8ef10fa	0	char_damek	Taverns don't really do anything for me, [firstname].\nI don't mean any offense by this — but I'll be waiting outside.\nThat's not to rush your relaxation, or anything. You deserve it.	酒馆对我没什么吸引力，[firstname]。\n我无意冒犯——但我会在外面等着。\n不是要催你放松，绝对不是。你当之无愧。
1637	map066_c8ef10fa_1	0	char_damek	Taverns don't really do anything for me, [firstname].\nI don't mean any offense by this — but I'll be waiting outside.\nThat's not to rush your relaxation, or anything. You deserve it.	酒馆对我没什么吸引力，[firstname]。\n我无意冒犯——但我会在外面等着。\n不是要催你放松，绝对不是。你当之无愧。
1638	map066_93d30107	0		With a smile, he slowly backs out of the Tavern.{w}\nI guess this would be a good chance to talk with Pro and Ulric.{w}\nWe haven't really had enough time to get to know each other yet.	他微微一笑，慢慢退出了酒馆。{w}\n我想这是个跟普洛和乌尔里克聊聊的好机会。{w}\n我们一直没有足够的时间彼此了解。
1639	map066_6346c75a	0		Valessa and Fortaime take a seat and start talking amongst themselves.{w}\nI guess it wouldn't be the end of the world if we wasted a {i}little{/i} bit of time here.{w}\nUlric is chugging a large cup of ale, and Pro is carefully reading over some letters.	瓦莱莎和福泰姆找了个位置坐下，彼此攀谈起来。{w}\n我想，在这儿浪费{i}一点点{/i}时间也没什么大不了的。{w}\n乌尔里克正大口灌着一大杯麦酒，普洛则在仔细翻阅几封信。
1640	click_map063_4_EV004_e7b93957	0		Cannot access content at this time.\nIf there is an X, you must complete preceding Heart-to-Hearts.\nIf there is a checkmark, you must move on to the next Heart-to-Heart.	目前无法访问此内容。\n如果标记为 X，你必须先完成前面的交心事件。\n如果标记为对勾，你必须继续下一个交心事件。
1641	click_map063_5_EV005_e7b93957	0		Cannot access content at this time.\nIf there is an X, you must complete preceding Heart-to-Hearts.\nIf there is a checkmark, you must move on to the next Heart-to-Heart.	目前无法访问此内容。\n如果标记为 X，你必须先完成前面的交心事件。\n如果标记为对勾，你必须继续下一个交心事件。
1642	click_map063_11_EV011_f6bd0e48	0		It's a book on Alarinthia's Civil Conflict.	这是一本关于阿拉林西亚内乱的书。
1643	click_map063_11_EV011_c92c8809	0		I examine the shelves, looking for anything of note.{w}\nI don't find much, except for a piece on some current news.{w}\nIt couldn't hurt to get a better perspective on Alestia's current state.	我打量书架，寻找值得注意的东西。{w}\n没找到多少，只看到一篇关于时事的报道。{w}\n多了解一下阿莱斯蒂亚的现状也无妨。
1644	click_map063_11_EV011_3ae36e0b	0		Resting my back against the shelf, I start to read it.{w}\nIt seems to be about Alarinthia. Ulric's homeland.{w}\nApparently, things aren't going very well over there.	我背靠书架，开始读起来。{w}\n似乎是关于阿拉林西亚，乌尔里克的故乡。{w}\n显然，那边的局势不太妙。
