# dialogue chunk 0013  entries 4801-5200 of 10370
# seq	block	idx	speaker	source	target
4801	map276_1a925121	0	char_damek	Now...! Go!	现在……！快走！
4802	map276_444339f7	0		In our haste, we still make sure to be as silent as possible.{w}\nThe Grand Library isn't too far away. In fact, I can see it now.{w}\nIt stands tall, and seems to be the one building that's not falling apart.	尽管行色匆忙，我们仍尽量不发出声响。{w}\n大图书馆离这儿不远了。事实上，我现在已经能看见它了。{w}\n它高高矗立，似乎是唯一一座没有坍塌的建筑。
4803	map277_572f640f	0		As soon as we arrive there, we all let out a big sigh of relief.{w}\nWe can still hear the fighting, but it's more distant than before.{w}\nThrough the screams, it's impossible to tell which side is winning.	一到那里，我们都长长地松了口气。{w}\n我们仍能听见战斗声，但比之前远了。{w}\n透过那些惨叫，根本听不出哪一方占着上风。
4804	map277_6828f8c1	0	char_pro	What's going on back there...?	后面到底怎么回事……？
4805	map277_df7c632c	0	char_damek	I don't know. Let's just hope it's going well.	不知道。只能盼着一切顺利。
4806	map277_096cf70a	0	char_pro	Doesn't sound that way.	听起来可不像。
4807	map277_1aa7d835	0	char_damek	For The Honor Guard, maybe.\nHurry up — we need to get inside.	也许是对荣誉卫队而言吧。\n快点——我们得进去。
4808	map277_1e0fca80	0	char_pro	Shouldn't we wait for The Monarch Vessels?\nAt this rate, it might not be much longer.	我们不用等君主容器吗？\n照这情形，也许要不了多久了。
4809	map277_985a6ca7	0	char_pro	Shouldn't we wait for The Seers?\nAt this rate, it might not be much longer.	我们不用等先知们吗？\n照这情形，也许要不了多久了。
4810	map277_55cc0202	0	char_damek	No, they can meet us inside.\nWe can't risk running into more suits.\nThat was just one group. I'm sure there's more.	不，他们可以进去和我们会合。\n我们不能冒险再撞上更多盔甲。\n那只是一队而已。肯定还有更多。
4811	map277_40bd8d10	0	char_pro	Right.	好吧。
4812	map277_a6513ef4	0		They start to ascend the stairs, but Howl stops them.	他们开始登上台阶，但豪尔拦住了他们。
4813	map277_89834144	0	char_howl	Wait. The Library seems fine.\nWhy does it not decay like the rest?	等等。图书馆看起来完好无损。\n为什么它不像其他地方那样腐朽？
4814	map277_e87eabf6	0		Everybody turns to face him. But nobody knows.{w}\nDamek takes the stairs back down, and faces Howl.	所有人都转头看向他。但没人知道答案。{w}\n达梅克走回台阶下，面对着豪尔。
4815	map277_f04e47b3	0	char_damek	I don't know — but I think this is a good sign.\nIt means we can control or limit what's happening.\nKnowing this, we might be able to fix Balteus.	我不知道——但我觉得这是个好兆头。\n这说明我们能够控制或限制正在发生的事。\n明白这一点，也许我们就能修复巴尔泰乌斯。
4816	map277_d45298ab	0	char_howl	Or perhaps it's a bad sign, Damek.\nMaybe our enemy has the power to harm Alestia itself.\nHow do you think we can stand up against such a foe?	又或者这是个坏兆头，达梅克。\n也许我们的敌人有能力伤害阿拉斯蒂亚本身。\n你觉得我们要怎么对抗这样的对手？
4817	map277_4aa479c0	0		Everybody exchanges worried glances.{w}\nBut then, their eyes find their way to the blade on my back.{w}\nIt's apparent that conventional means wouldn't be enough to win.	大家忧心忡忡地交换着眼神。{w}\n但随后，他们的目光都落到了我背上的那把剑上。{w}\n显然，常规手段不足以取胜。
4818	map277_e3d78765	0		Nobody knows how to answer Howl, and an awkward silence follows.{w}\nBut then we realize that it is, indeed, a silence. This is concerning.{w}\nThe earlier fight is over — but did The Monarch Vessels prevail?	没人知道该如何回应豪尔，随之而来的是尴尬的沉默。{w}\n但接着我们意识到，那确实是一片沉寂。这令人不安。{w}\n先前的战斗结束了——可君主容器赢了吗？
4819	map277_7f8c8eac	0		Nobody knows how to answer Howl, and an awkward silence follows.{w}\nBut then we realize that it is, indeed, a silence. This is concerning.{w}\nThe earlier fight is over — but did The Created Seers prevail?	没人知道该如何回应豪尔，随之而来的是尴尬的沉默。{w}\n但接着我们意识到，那确实是一片沉寂。这令人不安。{w}\n先前的战斗结束了——可被造先知们赢了吗？
4820	map277_241ca79b	0	char_damek	Hey, uh, let's get inside, alright?\nMaybe the Librarian knows more about this.\nWe shouldn't stand around in the open out here.	嘿，呃，我们进去吧，好吗？\n也许图书管理员知道得更多。\n我们不该这样站在外面空地上。
4821	map277_f7ac123f	0		Having successfully changed the subject, we start heading inside.{w}\nHowl made a good point, but none of us were able to counter it.{w}\nI doubt that the Librarian would want to talk to invaders like us.	成功转移了话题后，我们开始往里走。{w}\n豪尔说得有道理，但我们谁都没能反驳他。{w}\n我怀疑图书管理员不会愿意跟我们这样的入侵者说话。
4822	map277_895704ba	0		It makes me worry about how we might get them to talk.{w}\nThere was so much uncertainty and worry in the air right now.{w}\nAs we enter the Library, I hope that our forces lived through their fight.	这让我担心要怎样才能让他们开口。{w}\n此刻空气中弥漫着太多的不确定与忧虑。{w}\n走进图书馆时，我祈祷我们的部队能活过那场战斗。
4823	map278_b6e8073b	0		When we enter the Library, I'm taken aback by what I see.{w}\nDust fills the air, and it seems like this place has seen better days.{w}\nThe only sign that somebody has been here, is that the books remain clean.	走进图书馆时，眼前的景象让我吃了一惊。{w}\n空气里满是灰尘，这地方看来曾经辉煌过。{w}\n唯一能证明有人来过的迹象，就是那些书依旧一尘不染。
4824	map278_c2be0aae	0		Whoever has been taking care of this place only cares about the literature.{w}\nI guess that's acceptable, since that would be the main job of a Librarian.{w}\nBut it just seems odd. All the time in the world, and it's still quite dirty.	打理这里的人只在乎那些书籍。{w}\n我想这也能理解，毕竟那本该是图书管理员的主要职责。{w}\n但总觉得有些奇怪。有的是时间，这里却还是这么脏。
4825	map278_c01044b1	0		There's some kind of weird apparatus in the back of the Library.{w}\nI've never seen anything like it before. It's almost awe-inspiring.{w}\nMy comrades all look around, sharing that same look of awe.	图书馆深处有个奇怪的装置。{w}\n我从没见过那样的东西。简直令人惊叹。{w}\n我的同伴们四下张望，都带着同样的敬畏神情。
4826	map278_e444ecd3	0	char_fortaime	This is amazing...!	太惊人了……！
4827	map278_6476a103	0	char_damek	I've never seen so many books in one place before.\nI wonder what they're all about. Should we take a look?	我从没见过一个地方有这么多书。\n不知道它们都讲些什么。我们要不要看看？
4828	map278_9f04548f	0	char_valessa	Maybe not. We're here for a reason, remember?\nLet's find the owner, and see what they can tell us.	还是别了。我们来这儿是有目的的，还记得吗？\n先找到这里的主人，看看他能告诉我们什么。
4829	map278_ae03f524	0		Howl steps forward, objecting before anyone else can speak.	豪尔上前一步，抢在其他人开口前提出异议。
4830	map278_3186f6cf	0	char_howl	Actually, there's a chance that the books could tell us even more.\nThe Triumvirate must keep them away from the mainland for a reason.	其实，这些书说不定能告诉我们更多。\n三人执政团把它们隔绝于大陆之外，一定有原因。
4831	map278_a5d72242	0	char_fortaime	What do you mean...?	你是什么意思……？
4832	map278_179a70b6	0	char_howl	The Monarchy vanished in the blink of an eye. This, we know for sure.\nPeople can be erased — but not culture. Signs of our time here would've remained.	王朝在眨眼间就消失了。这一点我们确信无疑。\n人可以抹去——但文化不能。我们那个时代的痕迹本该留存下来。
4833	map278_91319346	0	char_fortaime	So you're saying—	所以你是说——
4834	map278_a3909716	0		Before he can continue, we hear a noise come from down the hall.{w}\nWe know The Honor Guard can't enter — so it must be the proprieter.{w}\nKnowing that we need to take them hostage, we assume hostile stances.	没等他说完，走廊那头传来一阵响动。{w}\n我们知道荣誉卫队进不来——所以那一定是这里的主人。{w}\n想到需要把他挟持为人质，我们摆出了敌对的架势。
4835	map278_35be1b8b	0	char_jit_map278_1_0_126	Looking into the past is one of the best ways to learn.\nIf we don't become better people, then we'll repeat the same mistakes.\nHow fitting then, that The Old Monarchy would focus only on the future.	审视过去是最好的学习方式之一。\n如果我们不成为更好的人，就会重蹈覆辙。\n所以旧王朝只盯着未来，还真是讽刺。
4836	map278_c977909e	0		We all exchange glances, slightly confused.	我们面面相觑，有些困惑。
4837	map278_9f6887b0	0	char_jit_map278_1_0_126	They wanted to guide themselves to the “perfect future”.\nIf it was possible to get there, then no cost would be too high.\nIn the name of a better world, they embraced corruption.	他们想引导自己走向“完美的未来”。\n如果能抵达那里，任何代价都不算高。\n以更美好世界的名义，他们拥抱了腐败。
4838	map278_c782f535	0		After a few steps forward, the mysterious man comes into view.	又走了几步，那个神秘的男人出现在视野中。
4839	map278_677deaef	0	char_jit_map278_1_0_126	Too often do we condemn others in our self-serving journeys.\nA bright future for The Monarchy would've meant death for other innocent worlds.\nThe Triumvirate chose to step in, as they have countless times before, to maintain balance.	在我们自私的旅途中，我们太常谴责他人。\n王朝光明的未来，意味着其他无辜世界的灭亡。\n三人执政团选择介入，正如他们此前无数次所做的那样，以维持平衡。
4840	map278_42269f4d	0		Damek interjects, with a look on his face that I can only describe as the onset of anger.	达梅克插话，脸上的神情我只能形容为怒火初起。
4841	map278_8b2b3dcc	0	char_damek	We know what The Triumvirate did to The Monarchy. Howl told us.\nBut like you said — mistakes are how we learn, and grow. It's how we become {i}better{/i}.\nIf the option of failure is taken away from us, we can no longer call ourselves people.	我们知道三人执政团对王朝做了什么。豪尔告诉过我们。\n但就像你说的——错误是我们学习和成长的方式。是我们变得{i}更好{/i}的方式。\n如果失败的可能性被夺走，我们就再也不能称自己为人了。
4842	map278_93f1ccd0	0	char_damek	They can hide behind whatever reason they want — but they're wrong to control us.\nThe ability to make these mistakes is our {i}right{/i}, and I will not stand by while it is taken away.\nCorruption? Death? Nobody wants these, but without them, we might as well not exist at all!	他们可以躲在任何理由背后——但他们控制我们是错的。\n犯下这些错误的能力是我们的{i}权利{/i}，我不会袖手旁观，任由它被夺走。\n腐败？死亡？没人想要这些，但没有它们，我们干脆就不该存在！
