chunk	seq	level	category	issue	fix
dialogue_0001	331	A	错译	“据说”误译 Apparently，与刚读到的书证不符	看来，他还窝藏了一把剑……？
dialogue_0002	555	A	术语/专名	spirits 译作“灵体”，与基准“灵”不一致，本篇多处出现	统一改为“灵”（558/600/601/716/749/754/765 同）
dialogue_0002	592	A	术语/专名	spiritual energy 译“灵力”，与454/462/463“灵性力量”不一致	全篇统一为一种译法（建议“灵力”）
dialogue_0003	1196	A	标点/占位符	译文第 2 句写成**真实换行**，把 TSV 拆成两物理行（第399行"而且听起来超吵。一直是这样吗？"），该行 `\n`=0/1，解析时第 2 句会丢	合并为单行：`哇，里面好多人……！\n而且听起来超吵。一直是这样吗？`（"而且…"现位于下一行，并回即可，勿重复添加；改完全文件应为 403→402 行）
dialogue_0003	939	A	术语/专名	它顺应持刃者的意志与 895/896"持剑者"不一致（terms: blade=剑，刃为禁用变体）	它顺应持剑者的意志。这一点确实不假。
dialogue_0004	1503	A	错译	“要是合法的买不到”把原文“若它不合法”译偏，条件错位	改“就算它不合法，海盗也能替你弄来。”
dialogue_0005	1636	A	错译	“你当之无愧”与上句“放松”接不上，荣誉用法落空	改“不是要催你休息什么的，你确实该好好歇歇”（1637同句）
dialogue_0005	1671	A	错译	“确实”对译“could”，试探语气被改成肯定	改“我想这{i}或许{/i}能让事情轻松些”
dialogue_0006	2018	A	术语/专名	灵能量与2211处"灵力"指同一原文词，译法不一	改为"它们完全由灵力驱动"
dialogue_0006	2205	A	错译	kept it under wraps意为保密，误作"原样封存"	改"我一直把它严实收着"
dialogue_0006	2307	A	术语/专名	灵体与全篇基准"灵"（spirit）不一致	改"就是，能查阅关于灵的资料的地方？"
dialogue_0008	2985	A	称谓	豪尔对君主用"你"（2985/2991/2992/2994/2999/3001），另 4 处用"您"	六处"你"改"您"：2985"我们料到您也会这么说"、2991"您为什么说…"、2992"我们也看见您这么说"、2994"让您知道…您也是这样"、2999"若您肯赏脸"、3001"您仍与他日渐亲近"（characters.md 硬约束：豪尔对君主禁用"你"）
dialogue_0009	3480/3481	A	错译	我们将因[firstname]而改变成了"我们因他而改变"，未译出改变局面	改"而这，有[firstname]在，我们必将它改变"
dialogue_0009	3524	A	错译	没有任何危险被放过与原意相反，原文是尽在预见、无偶然	改"一切危险都逃不过我们的预见。没有"偶然""
dialogue_0011	4103	A	错译	got caught指猝不及防，误作"被抓住了"	改"他悲伤是因为他猝不及防，肖恩"
dialogue_0011	4149	A	错译	keep to myself译成"管好自己"，失保密义	改"你只要这么做——我就答应守口如瓶"
dialogue_0011	4219	A	术语/专名	萨卢斯与人名基准"萨鲁斯"不一致	人名改为"萨鲁斯"
dialogue_0011	4328	A	术语/专名	suits of armor 译作"铠甲"，基准为"空甲"	那些铠甲也会随之崩解改"那些空甲也会随之崩解"
dialogue_0011	4341	A	术语/专名	suits of armor 译作"铠甲"，基准为"空甲"	改"那些空甲也会随之崩解"
dialogue_0011	4343	A	术语/专名	suits of armor 译作"铠甲"，基准为"空甲"	改"那些空甲也会随之崩解"
dialogue_0012	4496	A	术语/专名	先到的人能多杀几具铠甲，与全篇"空甲"不一	嘿——先到的人能多杀几架空甲。
dialogue_0012	4698	A	术语/专名	挡住一整群铠甲兵，全篇基准为"空甲"	我们不能指望他一个人挡住一整群空甲。
dialogue_0012	4730	A	错译	复述各自被分配的任务，going over＝核对/商议	我能听见大家在交谈——各自核对分派的任务。
dialogue_0012	4772	A	术语/专名	一大群荣誉卫队铠甲兵走过，应作"空甲"	他说完后，我们看到一大群荣誉卫队的空甲走过。
dialogue_0013	4896/4904/4919	A	术语/专名	Baltean 译作“巴尔泰”，与专名“巴尔泰乌斯”不一致	统一改为“巴尔泰乌斯的土地”“巴尔泰乌斯的空气”
dialogue_0013	4904	A	错译	“尤其是用在一个据点上”不通，丢失“以……换取”义	条件相当不错，何况还换来了一个据点
dialogue_0013	4911	A	标点/占位符	三行行尾各多一个]，共多3个右方括号，与英文不符	[[你可以与每一位{i}忠诚{/i}的同伴共度最后的独处时光。]\n[[准备好推进剧情时，点击右上角的箭头。]\n[[请注意，这样做将开始最终决战，并导向游戏的结局。]
dialogue_0014	5332	A	错译	这是他第一场真正的战斗。他第一次杀人（杀的是空甲）	他缓缓将它放到地上。这是他第一场真正的战斗，也是他第一次亲手杀敌。
dialogue_0014	5439	A	错译	从未见过有人双手使剑能有这般优雅（原文 two swords）	我从未见过有人双剑并用能有这般优雅。（与 5233"双剑并用"统一）
dialogue_0014	5559	A	错译	上次见到肖恩时，他想杀了自己（"自己"读作自杀）	上次见到肖恩时，是肖恩想杀他，而且几乎得手。
dialogue_0014	5588	A	漏译	看到这一幕，比任何伤口都更让他心痛（丢人名）	看到这一幕，达梅克心口的痛，胜过任何一处伤口。
dialogue_0015	5750	A	错译	那尊灵像开始腐化，并夺走巴尔泰乌斯的生机缺宾语，读成灵像自身腐化	那尊灵像开始侵蚀巴尔泰乌斯，夺走它的生机。
dialogue_0015	5807	A	称谓	豪尔对君主说"但你还活着"用"你"，违反 characters.md 硬约束	但您还活着。
dialogue_0016	6054	A	术语/专名	Salus 译作"萨鲁斯"，与 6053、6226 的"萨卢斯"不一致	统一为"萨卢斯"
dialogue_0016	6227	A	术语/专名	Salus 译作"萨鲁斯"，与 6053、6226 的"萨卢斯"不一致	改为"萨卢斯"（全篇一人一名）
dialogue_0017	6769	A	称谓	豪尔对君主[firstname]用"你"（6770/6773/6776 同）	我们认为您做了错误的选择；6770"可您却决定"；6773"您做了正确的选择"；6776"谢谢您征询…/与您交谈"
dialogue_0018	6849	A	术语/专名	大写头衔 Leader 译"领袖"，与 seq 7095"首领"不一致	改"是啊，只要干掉首领就行了，对吧？"
dialogue_0018	6850	A	错译	knowledge 误作"情报"，与下句"你记得我教的课"不符	改"最好的武器就是见识，对吧？"
dialogue_0018	6939	A	术语/专名	The Monarchy 译作"王朝"，与本篇"旧王室"不一致	改"旧王室用他们的力量治愈了我，救了我一命"
dialogue_0019	7582	A	称谓	豪尔对含君主的众人说"你们所有人"，未守您/君主硬约束	第三句改"这趟旅程似乎正在改变诸位的价值观"
dialogue_0020	7602	A	错译	「剑没有刺穿他的手」与上文匕首矛盾，凭空多出一把剑	改「没有刺穿他的手，反而整个缩进了匕首的握柄里」
dialogue_0020	7699	A	术语/专名	译作「萨卢斯」，与人名基准「萨鲁斯」不一致	改「他们为达梅克和萨鲁斯效力了几十年」
dialogue_0020	7801	A	称谓	豪尔对君主用「你」，7900/7901/7933 同，违反敬语硬约束	对[firstname]处「你」统一改「您」（7987 已用「您」）
dialogue_0020	7934	A	错译	指代活人造物用「它们」，与 7927「他们」不一致	两处「它们」均改「他们」
dialogue_0020	7950	A	术语/专名	译作「萨卢斯」，与人名基准「萨鲁斯」不一致	改「但那不是萨鲁斯，对吧」
dialogue_0020	7954	A	术语/专名	译作「萨卢斯」，与人名基准「萨鲁斯」不一致	改「问问萨鲁斯——我是说豪尔」
dialogue_0021	8162	A	标点/占位符	三行译文写成真实换行，`\n` 丢失、记录断成 3 行，后两行溢出	合并为单行 target：`我们不能变成我们想要推翻的敌人。\n你的想法需要重新审视，达梅克。\n你或许会说"为达目的不择手段"，但三人执政团也是这么想的。`
dialogue_0021	8168	A	称谓	豪尔对君主用"不像你想象的／你们准备好"	这具身体不像您想象的那样运作。\n我们不需要水，也不会昏倒。\n您准备好继续时，我们就出发。
dialogue_0021	8234	A	称谓	豪尔对君主说"也许你的部下只是需要时间适应"	也许您的部下只是需要时间适应。
dialogue_0021	8247	A	错译	Without their choice…他们的选择丢了"君主"所指	若不是君主当初的抉择，我们就无法活着战斗。
dialogue_0022	8473	A	错译	我也参与了对他们的定罪，condemn此处非"定罪"	改"我也难辞其咎——是我把他们逼进了这场战争"
dialogue_0022	8594	A	错译	他喝过酒后开放活泼得多，open误作"开放"致歧义	改"他喝过酒后要开朗健谈得多"
dialogue_0022	8609	A	错译	这样你才不会蒙蔽缺宾语语义反；ego误作"自尊"	改"这样才不会被蒙蔽、凭意气行事"
dialogue_0022	8694	A	错译	瓦利诺斯将来会重新安置主宾不通，resettle指人	改"我相信将来人们会重新搬回瓦利诺斯"
dialogue_0022	8716	A	错译	只有瓦莱莎觉得尴尬，makes it awkward是"把局面弄僵"	改"只有瓦莱莎非要把它弄尴尬，才尴尬！"
dialogue_0023	8875	A	错译	“她们都看着我”含福泰姆（男），性别错	改：他们都看着我，似乎并不明白。
dialogue_0023	8896	A	术语/专名	Seeress 译“女先知”，违背基准“先知”	改：瓦利诺斯最后的先知（8909 同）
dialogue_0024	9426	A	错译	“是用在……时留下的”句式杂糅，语义不通	它们是突袭三人执政团时用过的。
dialogue_0024	9430	A	术语/专名	残留英文缩写“PB”，未按专名本地化	他们甚至开始简称它为“佩吧”。
dialogue_0024	9431	A	术语/专名	残留英文“PB”，与9430同	“佩吧”……？这名字真怪。
