# batch	chunk	seq	speaker	category	source	OLD_target	NEW_target	reason	ctx_before	ctx_after
batch_1.tsv	dialogue_0001.tsv	65	char_sovy	误译	I am almost certain.\nBut if that's where they've chosen to hide it?\nIt means that our other target is also there.	我几乎可以确定。\n但要是他们选择把它藏在哪儿？\n那就意味着我们的另一个目标也在那里。	我几乎可以确定。\n但要是那就是他们藏剑的地方呢？\n那就意味着我们的另一个目标也在那里。	原文问藏剑地点是否为这里，现译误成选择藏在哪儿。	[char_the_triumvirate] The Blade of Exodus? | 放逐之刃？	[char_the_triumvirate] Your compliance pleases us, Sovy.\nYour plan was risky, but it worked  | 你的顺从让我们很满意，索维。\n你的计划虽有风险，但最终还是奏效了。\n最后再进行一次审讯，会进一步影响我们的决定。
batch_1.tsv	dialogue_0001.tsv	67	char_sovy	误译	You'd have me interrogate the prisoner once more?\nIf I may be so bold — to what end do you request this?	您要我再审那囚犯一次？\n恕我斗胆——请问您究竟想怎么做？	您要我再审那囚犯一次？\n恕我斗胆——请问您为何有此要求？	to what end询问原因或目的，不是询问具体做法。	[char_the_triumvirate] Your compliance pleases us, Sovy.\nYour plan was risky, but it worked  | 你的顺从让我们很满意，索维。\n你的计划虽有风险，但最终还是奏效了。\n最后再进行一次审讯，会进一步影响我们的决定。	[char_the_triumvirate] Not you, Sovy.\nWe want your {i}Apprentice{/i} to do this.\nIt is time | 不是你去，索维。\n我们要你的{i}学徒{/i}去做这件事。\n是时候让他证明自己的价值了。
batch_1.tsv	dialogue_0001.tsv	70	char_sovy	语气	My Apprentice...?\nI've told you many times, I want to work alone.\nIt would be more efficient for me to do this myself!	我的学徒……？\n我已经说过很多次了，我想独自行动。\n我一个人来做会高效得多！	我的学徒……？\n我已经说过很多次了，我想独自行动。\n我一个人来做会快得多！	“高效”偏现代书面，不符合索维的口语。	[旁白] Their voices echoed loudly through their darkened chambers.{w}\nIt mat | 他们的声音在昏暗的殿堂里回荡。{w}\n无论开口的是哪位执政官都无所谓，因为他们同心一体。{w}\n索维的声音里透着明显的恼怒，却尽力保持镇	[char_the_triumvirate] Insubordination...?\nThis is unbecoming of you, Sovy.\nWe demand that  | 抗命……？\n这不是你该有的样子，索维。\n我们命令你服从。
batch_1.tsv	dialogue_0001.tsv	100	旁白	术语	To break the deadlock, Ulric kicks his opponent in the gut.{w}\nThey stumble back, and ready their blade with a flourish.{w}\nIt isn't much longer until they charge toward him again.	为了打破僵局，乌尔里克一脚踹在对手的腹部。{w}\n那人踉跄着后退，炫技般重新举起兵器。{w}\n没过多久，他们又朝他冲了过来。	为了打破僵局，乌尔里克一脚踹在对手的腹部。{w}\n那人踉跄着后退，炫技般重新举起剑。{w}\n没过多久，他们又朝他冲了过来。	blade按术语表统一为“剑”。	[char_honor_guard] We order you to cease your resistance!\nThose who support The Rebellio | 我们命令你们停止抵抗！\n拥护反抗军的人都得死！	[char_ulric] Valessa, your dagger! | 瓦莱莎，你的匕首！
batch_1.tsv	dialogue_0001.tsv	233	char_valessa	语气	There's entire books written on this subject, you know.\nBut no one must know when they're in a vision.\nIt could screw up what the spirits want to show us.	你知道吗，关于这个主题有成书论述。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	你知道吗，关于这个主题写了好几本书。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	“成书论述”过于书面，不符瓦莱莎口吻。	[char_valessa] Trust me, it's better for him not to know.\nHe'd act recklessly, and h | 相信我，他不知道最好。\n他会行事鲁莽，而且会彻底懵掉。\n呃，我是说，比平时更鲁莽。	[char_valessa] These are gifts. Blessings, directly from the realm of spirits.\nWe're | 这是恩赐。是来自灵界的祝福。\n我们无权去破坏它们给予我们的东西。
batch_1.tsv	dialogue_0001.tsv	292	char_ulric	其他	Is that an accusation of some kind?\nWhere I come from, you don't accuse the guy with a bigger sword.\nI'll pretend I didn't hear that, and carry on with this search.	这算是什么指控吗？\n在我的家乡，你可不会去指控一个比你剑大的人。\n我就当没听见，继续搜查。	这算是什么指控吗？\n在我的家乡，你可不会去指控一个佩剑更大的人。\n我就当没听见，继续搜查。	“比你剑大的人”语法错误且歧义。	[char_ulric] That is, if you two even agree to follow me.\nBut right now, I can't l | 前提是，你们俩愿意跟我走。\n但眼下，我不能让你们在我眼皮底下送命。\n等我们脱离危险，再谈其余的事。	[char_ulric] Actually, I come from Alarinthia.\nPractically born with a blade in my | 其实，我来自阿拉林西亚。\n差不多一出生手里就攥着剑。\n当然，这只是打个比方。别去脑补那画面。
batch_1.tsv	dialogue_0001.tsv	301	char_ulric	语气	Very funny. A joke question. I'll pass.	真好笑。这是开玩笑的问题。我略过。	真好笑。这种玩笑问题，我不接。在我把你甩下之前，换个话题吧。	I'll pass译为“我略过”较生硬，改为自然口语。	[char_ulric] The weak die out pretty fast, so not really.\nI'd say there's always a | 弱者很快就淘汰了，所以也谈不上。\n要我说，那儿总有一份稳定的“前十”名单。\n要是不在名单上，就不值得你花时间。	[char_ulric] Hey, we're talking about putting your life on the line.\nDo you really | 喂，我们说的可是拿命去拼的事。\n你真会想要一个无名小卒来保护你吗？
batch_1.tsv	dialogue_0001.tsv	316	char_ulric	其他	Each nation has a General that serves The Triumvirate.\nThey rule in their stead, and make sure everything runs smoothly.\nExcept — you guessed it. The Elder, or General, of Valinorth.	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n唯独——你猜对了。瓦利诺斯的长老，或者说将军。	每个国家都有一位将军效命于三人执政团。\n他们代其统治，确保一切运转顺畅。\n只有瓦利诺斯例外——你猜对了，就是他们的长老，或者说将军。	原译未交代例外关系，末句语义残缺。	[char_ulric] Well, yeah, if The Triumvirate {i}is{/i} truly responsible.\nAlestia i | 嗯，是啊，如果三人执政团{i}真的{/i}是幕后黑手的话。\n阿莱斯蒂亚分为四个国家，对吧？\n瓦利诺斯、马泽奥、阿拉林西亚，还有巴尔泰乌斯	[char_ulric] No one really knows why you remained untouched for so long.\nBut the t | 没人真正知道你们为何长久以来未受侵扰。\n但有种说法是，他们不想触怒灵。\n你懂的，因为这里汇聚着那么多灵性力量。
batch_1.tsv	dialogue_0001.tsv	383	char_valessa	语气	There's entire books written on this subject, you know.\nBut no one must know when they're in a vision.\nIt could screw up what the spirits want to show us.	你知道吗，关于这个主题有成书论述。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	你知道吗，关于这个主题写了好几本书。\n但身处幻象中时，绝不能让旁人知道。\n那会搅乱灵想让我们看到的东西。	与seq233同源，需同步修正。	[char_valessa] Trust me, it's better for him not to know.\nHe'd act recklessly, and h | 相信我，他不知道最好。\n他会行事鲁莽，而且会彻底懵掉。\n呃，我是说，比平时更鲁莽。	[char_valessa] These are gifts. Blessings, directly from the realm of spirits.\nWe're | 这是恩赐。是来自灵界的祝福。\n我们无权去破坏它们给予我们的东西。
batch_1.tsv	dialogue_0002.tsv	429	char_ulric	其他	Is that an accusation of some kind?\nWhere I come from, you don't accuse the guy with a bigger sword.\nI'll pretend I didn't hear that, and carry on with this search.	这算是什么指控吗？\n在我的家乡，你可不会去指控一个比你剑大的人。\n我就当没听见，继续搜查。	这算是什么指控吗？\n在我的家乡，你可不会去指控一个佩剑更大的人。\n我就当没听见，继续搜查。	与dialogue_0001.tsv#292同源，需统一修正。	[char_ulric] That is, if you two even agree to follow me.\nBut right now, I can't l | 前提是，你们俩愿意跟我走。\n但眼下，我不能让你们在我眼皮底下送命。\n等我们脱离危险，再谈其余的事。	[char_ulric] Actually, I come from Alarinthia.\nPractically born with a blade in my | 其实，我来自阿拉林西亚。\n差不多一出生手里就攥着剑。\n当然，这只是打个比方。别去脑补那画面。
