# dialogue chunk 0003  entries 801-1200 of 10370
# seq	block	idx	speaker	source	target
801	map046_7da59578	0		He sniffles softly, like he overcame his imminent tears.	他轻轻抽了抽鼻子，像是忍住了即将夺眶的泪水。
802	map046_d0926a45	0	char_fortaime	At the end of the dream, when they turned back...?\nI ran toward them, and tried to hug them one more time.\nBut I didn't feel anything when I did, and the dream ended.	梦的最后，当他们回过头来……？\n我朝他们跑去，想再抱他们一次。\n可抱住的那一刻，我什么都感觉不到，梦境就此终结。
803	map046_ede3eb13	0	char_fortaime	But right now...? I'm definitely feeling something.\nAnd I know this won't end. I know you're not going anywhere.	可此刻……？我确实感觉到了什么。\n而且我知道，这不会结束。我知道你不会离开。
804	map046_91fe98a7	0		He hugs me tighter, and I do so as well.	他将我抱得更紧，我也收紧双臂。
805	map046_e3930066	0	char_fortaime	{i}This{/i} is what I need to fight for, [firstname].\nThe things that are right in front of me.\nThe things that matter, and the things I cherish.	{i}这{/i}才是我该为之战斗的东西，[firstname]。\n是那些就在我眼前的事物。\n是那些重要的、我珍视的一切。
806	map046_10339e3a	0		I nod, and let our embrace continue.{w}\nIt seems to last forever, but I don't mind.{w}\nI'd let it last as long as it needs to — for Fortaime.	我点点头，任由这个拥抱继续下去。{w}\n它仿佛持续到永远，可我并不在意。{w}\n为了福泰姆，它需要多久，我就愿意让它持续多久。
807	map046_ade89367	0		I decide to stand my ground, and let him overcome this.{w}\nI wouldn't always be there to console him. He needed strength.{w}\nWithout it, he might not survive this war. This was the right choice.	我决定坚持立场，让他自己挺过去。{w}\n我不可能永远在他身边安慰他。他需要坚强。{w}\n否则，他或许无法在这场战争中活下来。这才是正确的选择。
808	map046_53f4406e	0	char_fortaime	At the end of the dream, when they turned back...?\nI ran toward them, and tried to hug them one more time.\nI told them I love them. But nothing happened. I felt nothing.	梦的最后，当他们回过头来……？\n我朝他们跑去，想再抱他们一次。\n我告诉他们我爱他们。可什么都没有发生。我什么都感觉不到。
809	map046_84ba13da	0	char_fortaime	That emptiness, that nothingness...\nIs that what I really want to fight for?\nNo — there's real, {i}breathing{/i} people to fight for.	那份空虚，那片虚无……\n那真是我想为之战斗的东西吗？\n不——还有活生生的、{i}会呼吸{/i}的人值得我去战斗。
810	map046_697a5b06	0		He looks at me, and then at Valessa, at the other end of the room.{w}\nHe smiles, seeming to have stifled those imminent tears from earlier.	他看了看我，又看向房间另一头的瓦莱莎。{w}\n他笑了，似乎已压下了先前的泪水。
811	map046_80d95582	0	char_fortaime	So that's what I'll do.\nI won't pursue justice for a memory.\nLet alone a memory that's almost gone.	所以，我就这么做。\n我不会为一段记忆去追寻正义。\n更何况，那是一段几乎消散的记忆。
812	map046_baa4c53b	0	char_fortaime	I'll do it for you, and those around me.\nSo nobody else has to lose a home, or parents.\nWhen this is all over? {i}Everyone{/i} will be happy.	我会为你，也为身边的人而战。\n这样，就不会再有人失去家园，或是失去父母。\n等这一切结束后？{i}每个人{/i}都会幸福的。
813	map046_8ad65715	0	char_fortaime	Fighting for vengeance would only serve {i}me{/i}.\nI'm better than that, and I'm only realizing it now.\nI wonder if this dream was a gift from the spirits...?	为复仇而战，只会满足{i}我自己{/i}。\n我比那要更好，而我此刻才意识到这一点。\n这场梦，会不会是灵体赐予的礼物……？
814	map046_27a4bfaa	0		His smile grows wider, and I can tell he's calmed down.{w}\nI'm glad I could help him — that I chose to talk to him.{w}\nIf I didn't, he'd suffer in silence, affecting his judgment.	他的笑容更加舒展，看得出他已平静下来。{w}\n我很高兴能帮到他——高兴自己选择了与他交谈。{w}\n若不然，他会独自默默承受，进而影响他的判断。
815	map046_3c517fb0	0	char_fortaime	Well then, let's get going...!\nWe have a long journey ahead of us.\nBetter get it started now, I'm pumped up!	那好，我们出发吧……！\n前面还有漫长的旅程等着我们。\n最好现在就动身，我可是干劲十足！
816	map047_2c4f74bb	0		Valessa is walking from one end of the room to another. She looks annoyed.{w}\nIt could be any number of things, but I decide to talk to her and figure things out.{w}\nAs soon as I approach her, she stops in her tracks, and lets out an exasperated sigh.	瓦莱莎在房间里来回踱步，看上去有些烦躁。{w}\n原因可能有很多，但我决定找她谈谈，弄清状况。{w}\n我刚走近，她就停下脚步，恼怒地叹了口气。
817	map047_20c8de61	0	char_valessa	You know, I thought things would be different.\nIf you made me the Elder, I'd have a big game plan.\nAnd I thought I did — but I realized how little I know.	你知道吗，我本以为情况会不一样。\n如果你让我当长老，我会有个宏伟的规划。\n我原以为自己有——可我意识到自己懂得实在太少。
818	map047_7bf19123	0	char_valessa	Obviously, keeping our independence is important, right?\nBut I've realized that's actually kind of insignificant.\nOur problems are here in the present, not out in the future.	显然，保住我们的独立很重要，对吧？\n但我意识到，那其实有点微不足道。\n我们的问题就在当下，而不是遥远的未来。
819	map047_0f6d40a6	0	char_valessa	Maintaining our identity is a plan for the {i}future{/i}.\nIf Valinorth succumbs to the cold, there'll be nothing left to maintain.\nI still believe we need our independence, but that can't happen for a while.	维系我们的身份，是为{i}未来{/i}做的打算。\n可若是瓦利诺斯败给了严寒，就再没有任何东西需要维系了。\n我依然相信我们需要独立，但那短时间内无法实现。
820	map047_f6f5909b	0	char_valessa	So, against my better judgment, alliances might be necessary.\nI doubt we can find a way to save Valinorth all on our own.\nWe'll require knowledge from all corners of Alestia.	所以，尽管违背我的本意，结盟或许是必要的。\n我怀疑单凭我们自己，找不到拯救瓦利诺斯的办法。\n我们需要来自阿拉斯提亚四面八方的知识。
821	map047_7a48f317	0	char_valessa	So that might make things a bit tricky.\nRebuilding a nation that wants nothing to do with you?\nWho'd help me if I plan to give nothing in return...?	那也许会让事情变得有点棘手。\n重建一个根本不想搭理你的国家？\n如果我打算不给予任何回报，谁还愿意帮我……？
822	map047_f6d1daf2	0	char_valessa	I can't believe Fortaime is in charge now — no offense.\nMy vision for the future of Valinorth was just so clear.\nBut now everything is changing. It's not {i}home{/i} anymore.	真不敢相信现在是福泰姆主事——无意冒犯。\n我对瓦利诺斯未来的构想曾是那么清晰。\n可如今一切都在改变。这里不再是{i}家{/i}了。
823	map047_e8ab26a5	0	char_valessa	That is, if we can even find a way to save it.\nYou know, reconnecting with the spirits, or whatever.\nI'm starting to think that's quite the tall order.	前提是，我们真能找到拯救它的办法。\n你知道，比如重新与灵体建立联系什么的。\n我开始觉得，这可真是个艰巨的任务。
824	map047_0641129c	0	char_valessa	I'm not saying it'd be any simpler if you chose me.\nIt's just — never mind. I actually don't know what I'm saying.\nWhatever comes to my mind, seems to be coming out of my mouth.	我不是说，如果你选了我就会简单些。\n只是——算了。我其实不知道自己在说什么。\n脑子里想到什么，嘴上就冒出来什么。
825	map047_91ddd398	0	char_valessa	Ugh — sorry for rambling on. It's just a lot to take in.\nBut being able to talk about it definitely helps. Thanks, [firstname].\nAt the end of the day, being able to confide in you is great.	呃——抱歉我絮絮叨叨的。只是要消化的事情太多了。\n但能说出来聊聊，确实好受多了。谢谢你，[firstname]。\n说到底，能对你倾诉真是太好了。
826	map047_91ddd398_1	0	char_valessa	Ugh — sorry for rambling on. It's just a lot to take in.\nBut being able to talk about it definitely helps. Thanks, [firstname].\nAt the end of the day, being able to confide in you is great.	呃——抱歉我絮絮叨叨的。只是要消化的事情太多了。\n但能说出来聊聊，确实好受多了。谢谢你，[firstname]。\n说到底，能对你倾诉真是太好了。
827	map047_00bdac67	0		She blushes and rubs the back of her head with a hand.{w}\nShuffling awkwardly in place, I can tell she's flattered.	她脸一红，用手挠了挠后脑勺。{w}\n她局促地挪了挪脚，看得出她心里挺受用。
828	map047_1ff9fd75	0	char_valessa	That's... good to hear, [firstname].\nNobody should go through this stuff alone.\nIt's a lot better — feeling like I'm part of a team.	那……听起来不错，[firstname]。\n不该有人独自经历这些。\n感觉好多了——像是属于一个团队。
829	map047_1ff9fd75_1	0	char_valessa	That's... good to hear, [firstname].\nNobody should go through this stuff alone.\nIt's a lot better — feeling like I'm part of a team.	那……听起来不错，[firstname]。\n不该有人独自经历这些。\n感觉好多了——像是属于一个团队。
830	map047_8dff0080	0		She seems to disregard my advance, so I decide to back off.{w}\nPerhaps the timing was imperfect. I could always try again later.	她似乎没有理会我的示好，于是我决定退一步。{w}\n也许时机不太合适。反正以后总还能再试。
831	map047_d16f305a	0	char_valessa	Let's not get {i}too{/i} far off track, alright?	咱们别把话题扯得{i}太{/i}远了，好吗？
832	map047_a72ee852	0	char_valessa	Hmph. Yeah, I guess you're right.\nOf course, it never hurts to have some friends around.\nI expect we'll be spending a lot more time together, now.	哼。是啊，你说得大概没错。\n当然，身边有几个朋友总没坏处。\n我想从现在起，我们会一起度过更多时间。
833	map047_ac84fbea	0		I'm only joking, but she seems to take it personally.{w}\nPerhaps now isn't the best time to be cracking jokes like that.{w}\nI can tell she's even more annoyed. She grumbles under her breath.	我只是开个玩笑，她似乎却当了真。{w}\n也许现在不是开这种玩笑的好时候。{w}\n看得出她更加恼火了，低声嘟囔着什么。
834	map047_8eb44308	0	char_valessa	Anyway...	总之……
835	map047_07becb3b	0	char_valessa	Thanks. I appreciate it — I truly do.\nIt's always good when someone has your back.\nVenting helps, as inconvenient as it's known to be.	谢谢，我很感激——是真心的。\n有人挺你，总是好事。\n发泄一下是有用的，尽管大家都知道那不太得体。
836	map047_8a7920ad	0	char_valessa	I'm glad you don't mind, because we're dealing with pretty big issues.\nIf I can trust you with this kind of stuff, I can trust you with anything.\nWhich is great, because something tells me there's a lot more to come.	你不介意就好，因为我们面对的是相当重大的问题。\n如果这种事我都能信任你，那任何事我都能信任你。\n这很好，因为我有种预感，后面还有更多。
837	map047_4223fbbb	0		It's hard to get a read on her next expression, but she shuffles about some more.{w}\nTaking a few steps away from me, she rests her back against the wall.{w}\nI step closer toward her, inching ourselves away from Fortaime.	很难读懂她接下来的神情，但她又挪动了几下。{w}\n她后退几步，把背靠在墙上。{w}\n我朝她走近，让两人一点点远离福泰姆。
838	map047_dbf441f6	0	char_valessa	What am I going to do...?	我该怎么办……？
839	map047_397a248c	0	char_valessa	I want Valinorth's independence, but I can't get it alone.\nAs we travel the world, I'll need help wherever I can get it.\nConnecting our nation with the spirits isn't something I can do alone.	我想要瓦利诺斯独立，可单凭我一人办不到。\n我们周游世界的途中，我需要能到手的任何帮助。\n让我们的国家与灵体重新连结，不是我一个人能办到的。
840	map047_ec8a2a22	0	char_valessa	I have no idea how I'll get it done, though.\nLike I said, I'll need help from the outside world.\nWhat an odd idea. Alliances to achieve independence?	可我完全不知道怎么才能办到。\n就像我说的，我需要外界的帮助。\n真是个古怪的念头。为了独立去结盟？
841	map047_7b955269	0	char_valessa	No — people would just think I'm using them.\nIn order to do this efficiently, I'd have to keep it a secret.\nGlean information wherever I can, without telling anybody why.	不——人们只会觉得我在利用他们。\n想高效地做到这一点，我就得保密。\n尽可能地搜集情报，却不告诉任何人原因。
842	map047_dab70bf8	0	char_valessa	A book here, a conversation there — until I find a solution.\nAt the end of the day, nobody would know what I was up to.\nBut when our journey is over, I'd have the means to save Valinorth.	这里翻一本书，那里聊一次天——直到我找到解决之道。\n说到底，没人会知道我在盘算什么。\n可等旅程结束时，我就有了拯救瓦利诺斯的办法。
843	map047_078429a9	0	char_valessa	That sounds so... unethical.\nBut is it really? If it saves our nation?\nWhat do you think about all of this, [firstname]?	那听起来太……不道德了。\n但真是这样吗？如果这能救我们的国家？\n你对这一切怎么看，[firstname]？
844	map047_078429a9_1	0	char_valessa	That sounds so... unethical.\nBut is it really? If it saves our nation?\nWhat do you think about all of this, [firstname]?	那听起来太……不道德了。\n但真是这样吗？如果这能救我们的国家？\n你对这一切怎么看，[firstname]？
845	map047_7f4d35b6	0	char_valessa	Yeah, I guess you're right.\nIf I got caught, things would go wrong.\nDon't want to harm our chances of saving the world.	是啊，你说得大概没错。\n要是我被抓到，事情就糟了。\n我可不想损害我们拯救世界的机会。
846	map047_306ddd00	0	char_valessa	Can you imagine if somebody did that to us...?\nHelping us out — only to use us for information?\nI feel bad for suggesting it, but dire times, you know?	你能想象有人这么对我们吗……？\n帮我们一把——只是为了从我们身上套情报？\n提出这种想法我很过意不去，但时局艰难，你懂的？
847	map047_1442e7b6	0	char_valessa	Good. I'm glad we're on the same page.\nYou know what they say about dire times, right?\nLet's make sure this stays between the two of us.	好。很高兴我们想法一致。\n你知道人们怎么说艰难时局的，对吧？\n这事就只留在你我之间。
848	map047_2a0a6fa6	0	char_valessa	I can't imagine if somebody found out what we were doing.\nIt's better to go about this alone. Everyone else would use us.\nSave Valinorth — and get something in return, you know?	要是有人发现我们在做什么，我简直不敢想。\n这事最好独自进行。别人都会利用我们。\n拯救瓦利诺斯——顺便捞点好处，你懂吧？
849	map047_7fbf4062	0	char_valessa	But that's not what my vision of our future looks like.\nWe need to be strong on our own — completely independent.\nTaking help, and then pushing away the helpers? That could spark war.	可那不是我构想的未来。\n我们需要靠自己强大起来——彻底独立。\n接受帮助，然后把帮手一脚踢开？那可能会引发战争。
850	map047_35fbbd89	0	char_valessa	Under my lead, though? Valinorth will {i}never{/i} see another war.\nYeah — I like the sound of that. A strong, peaceful nation.	可要是在我的带领下？瓦利诺斯{i}绝不会{/i}再经历一场战争。\n是啊——我喜欢这个说法。一个强大而和平的国家。
851	map047_e95da8d9	0	char_valessa	From this point forward, your visions are {i}very{/i} important.\nI doubt that the one you had about Valinorth will be the last.\nEspecially now that this blade is involved in everything.	从今往后，你的预言{i}非常{/i}重要。\n我猜你关于瓦利诺斯的那次预言不会是最后一次。\n尤其现在这把刃牵涉进了所有事情里。
852	map047_ba0917c3	0	char_valessa	We need to make an important decision, here.\nDo we involve the rest of Alestia with this stuff...?\nOr do we keep the visions to ourselves, like always?	我们得在这里做一个重要的决定。\n要让阿拉斯提亚的其他人也牵扯进这些事吗……？\n还是像往常一样，把预言留在我们自己手里？
853	map047_0c28af54	0	char_valessa	If we start to serve them with our visions, they'll be dependent.\nAfter this war is over, they could expect us to keep helping out.\nOr even worse, people with ill intent could {i}force{/i} us to help.	若我们开始用预言为他们效力，他们就会产生依赖。\n战争结束后，他们可能指望我们一直帮下去。\n更糟的是，心存歹意的人可能会{i}强迫{/i}我们出手。
854	map047_4473095d	0	char_valessa	Should we keep our roles as secret as possible...?\nOr should we openly tell everybody who we are?\nThis is the first time a Seer has left Valinorth.	我们该尽可能隐藏自己的身份吗……？\n还是该公开告诉所有人我们是谁？\n这是先知首次离开瓦利诺斯。
855	map047_04d0f4ba	0	char_valessa	Should we keep our roles as secret as possible...?\nOr should we openly tell everybody who we are?\nThis is the first time a Seeress has left Valinorth.	我们该尽可能隐藏自己的身份吗……？\n还是该公开告诉所有人我们是谁？\n这是先知首次离开瓦利诺斯。
856	map047_3802cefd	0	char_valessa	We're making history. \nBut what kind of history do we make?	我们正在创造历史。\n可我们创造的是怎样的历史？
857	map047_664c880a	0	char_valessa	Do you really think so?\nThe world is full of horrible people, you know.\nWe can't trust that everybody will be on our side.	你真这么想？\n你知道，这世上到处都有可怕的人。\n我们不能指望所有人都站在我们这边。
858	map047_8403d11b	0	char_valessa	Even if they act like it, they could just be using us.\nI'd say I trust our judgment, but I'm not so sure.	即便他们装作如此，也可能只是在利用我们。\n我本想说我相信我们的判断，可我不太确定。
859	map047_add702c4	0	char_valessa	I can play along, so it doesn't seem like I'm hiding anything.\nBut the moment someone rubs me the wrong way? I'll tell you.\nBetter to stay on our toes. Otherwise, they'd trample all over us.	我可以配合着演，让事情看起来不像我在隐瞒什么。\n但要是有人惹我反感？我会告诉你。\n最好还是保持警惕。否则，他们会把我们踩在脚下。
860	map047_b2d8380a	0	char_valessa	Yeah. Let's keep it contained to The Rebellion.\nOther than that — only if it concerns our cause.\nBetter than putting targets on our heads, right?	是啊。消息就限制在反抗军内部吧。\n除此之外——除非与我们的目标相关。\n总比在自己头上贴靶子好，对吧？
861	map047_d41dc0bd	0	char_valessa	If everybody saw the potential to cheat the future...?\nI can't even imagine what lengths they'd go to use you, [firstname].\nWe can't offer your gift to everybody. It doesn't work that way.	要是所有人都看到能欺骗未来的潜力……？\n我无法想象他们会为了利用你做到什么地步，[firstname]。\n我们不能把你的天赋提供给所有人。事情不是那样运作的。
862	map047_d41dc0bd_1	0	char_valessa	If everybody saw the potential to cheat the future...?\nI can't even imagine what lengths they'd go to use you, [firstname].\nWe can't offer your gift to everybody. It doesn't work that way.	要是所有人都看到能欺骗未来的潜力……？\n我无法想象他们会为了利用你做到什么地步，[firstname]。\n我们不能把你的天赋提供给所有人。事情不是那样运作的。
863	map047_aa1c4292	0	char_valessa	If we helped as many as we could — we'd leave some out.\nTrying to help everybody...? No, we'd just be picking and choosing.\nThat's the best way to harbor spite, or in some cases, a desire for revenge.	若我们尽力帮尽可能多的人——终会漏掉一些人。\n想帮所有人……？不，那不过是挑拣选择罢了。\n那是滋生怨恨、有时甚至是复仇之心的最佳途径。
864	map047_70d403c0	0	char_valessa	Thanks for giving me your advice, [firstname].\nIt's good to have some direction. I was feeling lost.\nI'm glad to know we can keep working together like this.	谢谢你给我建议，[firstname]。\n有点方向是好事。我先前感到很迷茫。\n很高兴知道我们能一直这样合作下去。
865	map047_70d403c0_1	0	char_valessa	Thanks for giving me your advice, [firstname].\nIt's good to have some direction. I was feeling lost.\nI'm glad to know we can keep working together like this.	谢谢你给我建议，[firstname]。\n有点方向是好事。我先前感到很迷茫。\n很高兴知道我们能一直这样合作下去。
866	map047_118cab52	0	char_valessa	I know. Trust me, I know.\nBut is this really the time to talk about that stuff?\nIt's not that I'm not interested. It's just... timing.	我知道。相信我，我明白。\n可现在是谈那些事的时候吗？\n不是我不感兴趣。只是……时机不对。
867	map047_33b3192a	0	char_valessa	Maybe I'll feel a bit different once we get to Mazeo.\nSettling down in the Rebel HQ might make things easier.\nRight now, there's just so much happening, and we're mobile.	也许等我们到了马泽奥，我会有些不一样的感觉。\n在反抗军总部安顿下来，或许能让事情容易些。\n眼下发生的事太多了，而我们又一直在赶路。
868	map047_3bae9b7c	0	char_valessa	It'll take some time before I can think about that stuff.\nIf only the day went by normally. Who knows what would've happened.	我需要一些时间才能考虑那些事。\n要是那天能像平常一样过去就好了。谁知道会发生什么呢。
