file	cur_alpha(0/op/partial)%	v1.3.7_alpha	cur_cyan	v1.3.7_cyan	strong_diff%	composited_diff%	newly_opaque_px
game/images/b0008.png	32.6/67.1/0.3	32.1/67.1/0.8	0	0	41.87	9.63	0
game/images/b0014.png	32.0/67.6/0.3	32.1/67.1/0.8	0	0	41.15	9.18	2204
game/images/b0003.png	32.3/67.4/0.3	32.1/67.1/0.8	0	0	41.39	9.12	1407
game/images/b0005.png	32.6/67.1/0.3	32.1/67.1/0.8	0	0	40.99	8.67	0
game/images/b0009.png	32.2/67.4/0.3	32.1/67.1/0.8	0	0	40.55	8.5	1312
game/images/b0007.png	32.4/67.3/0.3	32.1/67.1/0.8	0	0	39.51	8.44	647
game/images/b0011.png	32.1/67.3/0.6	32.1/67.3/0.7	0	0	40.52	8.42	206
game/images/b0001.png	32.6/67.1/0.3	32.1/67.1/0.8	0	0	40.25	7.93	0
game/images/b0004.png	32.3/67.4/0.3	32.1/67.1/0.8	0	0	40.07	7.84	900
game/images/b0012.png	32.2/67.2/0.6	32.1/67.1/0.8	0	0	39.72	7.53	49
game/images/b0006.png	32.1/67.2/0.6	32.1/67.1/0.8	0	0	38.59	7.46	106
game/images/tut006.png	5.3/23.5/71.2	12.6/19.7/67.7	56	52	11.51	7.33	87567
game/images/b0016.png	32.1/67.3/0.6	32.1/67.3/0.7	0	0	39.33	7.2	268
game/images/tut005.png	10.4/23.1/66.5	12.6/19.0/68.4	1281	1158	17.92	7.19	39548
game/images/b0002.png	32.5/67.2/0.3	32.1/67.1/0.8	0	0	39.43	7.17	387
game/images/b0013.png	32.2/67.2/0.6	32.1/67.1/0.8	0	8	7.31	6.67	63
game/images/b0015.png	32.4/67.3/0.3	32.1/67.1/0.8	0	0	38.59	6.44	611
game/images/tut001.png	34.7/25.8/39.5	34.9/2.2/62.9	46	25	40.67	5.73	1610
game/images/b0010.png	32.1/67.2/0.6	32.1/67.1/0.8	0	0	37.36	5.15	132
game/images/b0017.png	32.1/67.2/0.6	32.1/67.1/0.8	0	0	36.06	3.97	156
game/images/tut003.png	22.2/5.6/72.2	24.1/3.1/72.9	131	137	25.6	3.65	17264
game/images/zz4.png	98.5/0.5/1.0	98.7/0.4/0.9	0	0	2.02	1.64	7591
game/images/zz12.png	98.7/0.4/0.9	98.8/0.4/0.8	0	0	1.93	1.51	7041
game/images/zz11.png	98.7/0.4/0.9	98.8/0.4/0.8	0	0	1.6	1.36	5770
game/images/BalteusMap2.png	RGB	0.0/100.0/0.0	0	0	1.07	1.07	0
game/images/ValinorthMap.png	0.0/100.0/0.0	0.0/100.0/0.0	0	0	0.95	0.95	0
game/images/zz10.png	98.8/0.5/0.7	98.8/0.5/0.7	0	0	0.82	0.91	2715
game/images/zz2.png	99.2/0.3/0.5	99.3/0.2/0.5	0	0	1.14	0.89	4305
game/images/AlarinMapColi.png	RGB	0.0/100.0/0.0	0	0	0.84	0.84	0
game/images/BalteusMap1.png	RGB	0.0/100.0/0.0	0	0	0.57	0.57	0
game/images/AlarinMapDesert.png	RGB	0.0/100.0/0.0	0	0	0.48	0.48	0
game/images/RebelHQMap.png	0.0/100.0/0.0	0.0/100.0/0.0	0	0	0.0	0.0	0
