chunk	seq	category	指代对象	上文译法	下文/现状译法	建议译文	理由
dialogue_0001.tsv	61	不一致	his masters（三人执政团）	主上（后文对三人执政团的固定称谓）	主人们	而在当下，三人执政团正与他们的大审判官密谋。{w}\n因为导致瓦利诺斯覆灭的事件，此时尚未拉开序幕。{w}\n索维跪在他的主上面前，比以往任何时候都更渴望效命。	同一称谓后文稳定作“主上”，此处译成主仆关系的“主人们”。
dialogue_0002.tsv	740	不一致	The Old Monarchy	旧王室（后文多数）	旧王朝	豪尔从身后走近我，望向东冠。{w}\n他似乎很困惑，好像连他也不清楚那边有什么。{w}\n这说得通。我怀疑旧王室没有能力在这严寒中存活。	同一专名后文稳定作“旧王室”，此处译成“旧王朝”。
dialogue_0003.tsv	883	不一致	The Monarchy	王室（本范围多数）	王权	让我们换个说法。你知道预言，对吧？\n王室曾用它们引领我们走向最好的未来。\n可你若不经反复试错，又怎会{i}知道{/i}那最好的未来到底是什么？	同一专名在本范围多数译作“王室”，此处译成抽象政治概念“王权”。
dialogue_0003.tsv	898	不一致	The Monarchy	王室（本范围多数）	王权	即便它只留下每个灵魂的一部分，也会随着每一次杀戮而变强。{w}\n再加上其中王室的力量……？那将是无穷之力。{w}\n要是三人执政团所杀之人的一部分力量，最终被用来终结他们自己，倒有点讽刺。	同一专名在本范围多数译作“王室”，此处译成抽象政治概念“王权”。
dialogue_0003.tsv	926	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	是吗……？\n看来“萨鲁斯”是位可敬的人。\n我们难道不是在完成他最后的遗愿吗？	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0003.tsv	959	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	是吗……？\n看来“萨鲁斯”是位可敬的人。\n我们难道不是在完成他最后的遗愿吗？	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0003.tsv	1194	不一致	hop-overs	翻墙客	翻墙的人	是啊，他们就是这么叫的。\n建起这样一道城门，就难免会有“翻墙客”。\n相信我——每一种可能的伎俩，他们都有应对之策。	同一戏称在前两行已译作“翻墙客”，此处回指时改成泛称“翻墙的人”。
dialogue_0004.tsv	1214	不一致	Town Square（城镇广场）	城镇广场	城广场	要求先知到场的那条？\n别在意，他们应该很快就会到。\n其实——我这就去城镇广场接他们。	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0004.tsv	1215	不一致	Town Square（城镇广场）	城镇广场	城广场	要求先知到场的那条？\n别在意，他们应该很快就会到。\n其实——我这就去城镇广场接他们。	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0004.tsv	1305	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	他叫萨鲁斯，是个不折不扣的天才。\n我知道我们都说达梅克是个出色的战略家，可萨鲁斯？他简直不可思议。\n要不是他，你背上根本不会背着那把剑。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1308	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	我的意思是，没人会去质疑格瑞兹，或是瓦利诺斯的长老。\n正因如此，他和萨鲁斯才能在不被怀疑的情况下会面、谋划。\n可以说，我们有最完美的掩护。萨鲁斯去世后，我们就更加谨慎行事了。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1329	不一致	Town Square（城镇广场）	城镇广场	城广场	城镇广场里藏着一家大酒馆。\n那里有花钱能买到的最好的酒，而且跟佩雷格里诺一样有雅间。\n这生意经其实挺高明。等你喝多了，他们就能哄你开个房间。	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0004.tsv	1424	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	瓦利诺斯的前任长老萨鲁斯来探访。\n不久之后，条约和反抗军便成立了。\n我无处可去，也无家可归，只能被迫战斗。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1430	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	嗯，我想几乎所有事吧。\n我是和萨鲁斯一起的“创始成员”之一。\n大概是他们觉得这说法比“童兵”好听。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1436	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	萨鲁斯？他就像我们许多人的父亲。\n大概正因如此，他的牺牲才让我们所有人深受打击。\n你{i}应该{/i}记得他是瓦利诺斯的长老吧？	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1438	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	萨鲁斯目睹了马泽奥的混乱与毁灭，想要伸出援手。\n其实，占领期间连一些瓦利诺斯人也在这里。\n他大概是通过打听他们的“失踪”才得知了事情的经过。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1440	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	萨鲁斯大概料到瓦利诺斯也会被占领。\n所以训练一支军队去复仇对两个国家都有好处。\n他们把佩雷格里诺设为中枢，于是就有了今天。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1441	不一致	Salus（萨鲁斯）	萨鲁斯（同范围后文多数）	萨卢斯	接下来的二十年里，孤儿们越来越强。\n我们一做好战斗准备，就发动了放逐突袭。\n萨鲁斯跟我讲了更多关于{i}你{/i}的事，他去世后便由我接手。	同一人名音译漂移；后文稳定使用“萨鲁斯”。
dialogue_0004.tsv	1488	不一致	Town Square（城镇广场）	城镇广场	城广场	这个城镇广场到底延伸多远……？	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0004.tsv	1512	不一致	Town Square（城镇广场）	城镇广场	城广场	这个城镇广场到底延伸多远……？	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0004.tsv	1592	不一致	Town Square（城镇广场）	城镇广场	城广场	我在马泽奥的城镇广场闲逛时，注意到索维正挨个看着摊位。{w}\n他看起来对一切都全神贯注，像是终于有时间停下来看看。{w}\n这倒也合理。直到现在，他大概一直忙于为三人执政团执行任务。	同一地名在本范围多数作“城镇广场”，此处另译为“城广场”。
dialogue_0005.tsv	1693	待定	big score（同一票生意）	最大的一票	大捞一笔	我在总部的房间又大又奢华。\n我们可以开一瓶酒庆祝我干成的这一票。\n我不会承诺更多，行吗？	同一人物在同一段先说“最大的一票”，随后改说“大捞一笔”；含义相同，但俚语口径不一致，宜人工确认统一说法。
