# dialogue chunk 0025  entries 9601-10000 of 10370
# seq	block	idx	speaker	source	target
9601	map032_44b11983	0	char_fortaime	You know what that means, right?\nAs soon as we get there — I'm buying apples.	你知道那意味着什么吧？\n我们一到那儿——我就要去买苹果。
9602	map032_58a37072	0	char_fortaime	Oh — well, I don't blame you.\nThe beds at home are a lot more comfortable.\nI heard Ulric talking outside. We're skipping breakfast.	哦——好吧，我不怪你。\n家里的床确实舒服多了。\n我听到乌尔里克在外面说话了。我们不吃早饭了。
9603	map032_1ef1e6d9	0	char_fortaime	When we're all ready, we're heading to Mazeo.\nI think you can tell what I'm planning, right?\nWe'll finally be able to share some apples!	等我们准备好了，就出发去马泽奥。\n我猜你能看出我在打什么主意吧？\n我们终于能一起分享苹果了！
9604	map032_e0058008	0		He smiles, and his ears perk up.{w}\nSkipping breakfast didn't sound all too appealing.{w}\nBut I'm sure Mazeo would have no shortage of cuisine.	他笑了，耳朵竖了起来。{w}\n不吃早饭听起来可不太吸引人。{w}\n不过我敢肯定马泽奥不缺美食。
9605	map032_20471768	0		Someone knocks on the door to the room a few times.{w}\nAfter hearing no objections, they slowly enter the room.{w}\nIt's Valessa, and she lets out a loud yawn before speaking.	有人敲了几下房门。{w}\n见没人反对，他们缓缓走进房间。{w}\n是瓦莱莎，她打了个大大的哈欠才开口。
9606	map032_eb5db761	0	char_valessa	Oh, hey Fortaime.\nI was gonna look for you, too.\nGlad to know I didn't end up wasting time.	哦，嘿，福泰姆。\n我本来也想去找你来着。\n还好我没白跑一趟。
9607	map032_89d805f9	0	char_fortaime	Morning, Valessa. Sleep well?	早上好，瓦莱莎。睡得好吗？
9608	map032_76581703	0	char_valessa	I suppose so, all things considered.\nThere's a whole host of questions I want to ask.\nAs soon as we meet Damek, I expect to get answers.	算是吧，考虑到种种情况。\n我有一大堆问题想问。\n一见到达梅克，我希望能得到答案。
9609	map032_1bb15f44	0	char_fortaime	Yeah, I know what you mean.\nHopefully as The Elder, I can get him to talk.\nIt's a bit different when it's a political ally asking.	是啊，我懂你的意思。\n希望以长老的身份，我能让他开口。\n由政治盟友来问，总归不太一样。
9610	map032_754abcc3	0	char_valessa	Makes sense, I guess.\nMaybe I'll give you my list or something.\nThen it'll be a matter of Mazeo-Valinorth relations.	我想也有道理。\n也许我该把我的清单交给你之类的。\n那就成了马泽奥和瓦利诺斯之间的外交事务了。
9611	map032_dd32d218	0	char_fortaime	Not a bad idea, actually.\nEither way, I expect to know a lot more in a few days.\nI can't wait to meet Damek and the rest of the Rebel Alliance.	其实这主意不坏。\n不管怎样，几天后我应该能了解得多得多。\n我迫不及待想见到达梅克和反抗军同盟的其他成员了。
