ref	label	line_no	speaker	pattern	matched_en	en	zh
# game/script.rpy:1527	map005_175012bf	198	char_ulric	on the same page	on the same page	Good to know we're on the same page.\nIt'd be foolish to try taking them on alone.	se/z00014.ogg
# game/script.rpy:1958	map005_73cf90b7	376	char_ulric	keep an eye on	keep an eye on	You must be mistaken. This wasn't an option.\nI can't keep an eye on both of you in the heat of battle.\nValessa has her daggers, and you need something as well.	se/z00028.ogg
# game/script.rpy:3961	map037_488b746d	1197	Narration	stood a chance	stood a chance	More suits of armor litter the ground, there's so many of them.{w}\nIt makes me feel a bit hopeful, like we stood a chance.{w}\nThe village wasn't defenseless, and this was proof.	地上散落着更多盔甲，数量多得惊人。{w}\n这让我稍稍燃起希望，仿佛我们还有胜算。{w}\n村子并非毫无防备，这就是明证。
# game/script.rpy:4578	map037_96442f7f	1449	Narration	on the spot	on the spot	He stares at me with a serious look on his face.{w}\nTalk about putting me on the spot.{w}\nBut if this was my role, I had to fill the shoes.	他一脸严肃地盯着我。{w}\n真是把我架在火上烤。{w}\n可如果这就是我的角色，我就必须担起来。
# game/script.rpy:4666	map037_6a115fbc	1479	char_ulric	on the same page	on the same page	Good to know we're on the same page.\nMylus can't be the only one with information.	很高兴我们想法一致。\n掌握情报的人不可能只有迈勒斯一个。
# game/script.rpy:4771	map037_2d80f2de	1521	char_valessa	on the same page	on the same page	Good, we're on the same page.\nWe can use that information to help others.\nIt would be selfish to focus only on Valinorth.	很好，我们想到一块儿去了。\n我们可以用这些情报去帮助其他人。\n只盯着瓦利诺斯，那就太自私了。
# game/script.rpy:6601	Valessa2_map085_1_0_2048b12d	2185	char_valessa	face value	face value	I'd want to get to the bottom of it, then.\nThere's more going on than we can take at face value.\nHe'd have his reasons, and I'd want to hear all of them.	那我就想把事情查个水落石出。\n这里面另有隐情，不能只看表面。\n他一定有自己的理由，而我想全部听他说清楚。
# game/script.rpy:10026	Valessa2_map084_6_0_2048b12d	3381	char_valessa	face value	face value	I'd want to get to the bottom of it, then.\nThere's more going on than we can take at face value.\nHe'd have his reasons, and I'd want to hear all of them.	那我就想把事情查个水落石出。\n这里面另有隐情，不能只看表面。\n他一定有自己的理由，而我想全部听他说清楚。
# game/script.rpy:11742	click_map084_53_EV053_23f9dfc1	4239	Narration	under the table	under the table	I crawl under the table, it's full of useless trinkets.{w}\nWhatever we were looking for, I doubt it's down here.	我爬到桌子底下，满是没用的零碎玩意儿。{w}\n不管我们在找什么，我怀疑它不在下面。
# game/script.rpy:11762	click_map084_53_EV053_291d5a81	4269	Narration	under the table	under the table	I get out from under the table, after Ulric's verbal lashing.{w}\nHe might've disagreed, but we had to search everywhere we could.	在挨了乌尔里克一顿训之后，我从桌子底下钻了出来。{w}\n他也许不赞同，但我们得把所有能搜的地方都搜一遍。
