# strings chunk 0004  entries 1201-1253 of 1253
# seq	file	key	target
1201	common	Renderer	渲染器
1202	common	Automatically Choose	自动选择
1203	common	Force Angle/DirectX Renderer	强制使用 Angle/DirectX 渲染器
1204	common	Force OpenGL Renderer	强制使用 OpenGL 渲染器
1205	common	Force Software Renderer	强制使用软件渲染器
1206	common	NPOT	NPOT
1207	common	Enable	启用
1208	common	Powersave	节能
1209	common	Framerate	帧率
1210	common	Screen	屏幕
1211	common	60	60
1212	common	30	30
1213	common	Tearing	画面撕裂
1214	common	Changes will take effect the next time this program is run.	更改将在下次运行本程序时生效。
1215	common	Performance Warning	性能警告
1216	common	This computer is using software rendering.	此电脑正在使用软件渲染。
1217	common	This computer is not using shaders.	此电脑未使用着色器。
1218	common	This computer is displaying graphics slowly.	此电脑的图形显示速度缓慢。
1219	common	This computer has a problem displaying graphics: [problem].	此电脑在显示图形时出现问题：[problem]。
1220	common	Its graphics drivers may be out of date or not operating correctly. This can lead to slow or incorrect graphics display. Updating DirectX could fix this problem.	其显卡驱动可能已过时或无法正常运行。这可能导致图形显示缓慢或不正确。更新 DirectX 或许能解决此问题。
1221	common	Its graphics drivers may be out of date or not operating correctly. This can lead to slow or incorrect graphics display.	其显卡驱动可能已过时或无法正常运行。这可能导致图形显示缓慢或不正确。
1222	common	Update DirectX	更新 DirectX
1223	common	Continue, Show this warning again	继续，再次显示此警告
1224	common	Continue, Don't show warning again	继续，不再显示此警告
1225	common	Updating DirectX.	正在更新 DirectX。
1226	common	DirectX web setup has been started. It may start minimized in the taskbar. Please follow the prompts to install DirectX.	DirectX 网页安装程序已启动。它可能会在任务栏中最小化启动。请按提示安装 DirectX。
1227	common	{b}Note:{/b} Microsoft's DirectX web setup program will, by default, install the Bing toolbar. If you do not want this toolbar, uncheck the appropriate box.	{b}注意：{/b}微软的 DirectX 网页安装程序默认会安装必应工具栏。如果您不想要此工具栏，请取消勾选相应的复选框。
1228	common	When setup finishes, please click below to restart this program.	安装完成后，请点击下方按钮重启本程序。
1229	common	Restart	重启
1230	common	Select Gamepad to Calibrate	选择要校准的手柄
1231	common	No Gamepads Available	没有可用的手柄
1232	common	Calibrating [name] ([i]/[total])	正在校准 [name]（[i]/[total]）
1233	common	Press or move the [control!r] [kind].	按下或移动 [control!r] [kind]。
1234	common	Skip (A)	跳过 (A)
1235	common	Back (B)	返回 (B)
1236	common	Open	打开
1237	common	Opens the traceback.txt file in a text editor.	在文本编辑器中打开 traceback.txt 文件。
1238	common	Copy	复制
1239	common	Copies the traceback.txt file to the clipboard.	将 traceback.txt 文件复制到剪贴板。
1240	common	An exception has occurred.	发生了一个异常。
1241	common	Rollback	回滚
1242	common	Attempts a roll back to a prior time, allowing you to save or choose a different choice.	尝试回滚到之前的时间点，以便存档或选择其他选项。
1243	common	Ignore	忽略
1244	common	Ignores the exception, allowing you to continue.	忽略该异常，以便继续。
1245	common	Ignores the exception, allowing you to continue. This often leads to additional errors.	忽略该异常以便继续。这通常会导致更多错误。
1246	common	Reload	重新加载
1247	common	Reloads the game from disk, saving and restoring game state if possible.	从磁盘重新加载游戏，并在可能的情况下保存和恢复游戏状态。
1248	common	Console	控制台
1249	common	Opens a console to allow debugging the problem.	打开控制台以调试问题。
1250	common	Quits the game.	退出游戏。
1251	common	Parsing the script failed.	脚本解析失败。
1252	common	Opens the errors.txt file in a text editor.	在文本编辑器中打开 errors.txt 文件。
1253	common	Copies the errors.txt file to the clipboard.	将 errors.txt 文件复制到剪贴板。
