file	行数	变体数	方向	seqs	变体(次数)	说明
dialogue/dialogue_0001.tsv/dialogue/dialogue_0013.tsv/dialogue/dialogue_0014.tsv	3	2	legacy	dialogue/dialogue_0001.tsv#106;dialogue/dialogue_0013.tsv#5126;dialogue/dialogue_0014.tsv#5368	嗯……？ [2次] ||| 咦……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0001.tsv/dialogue/dialogue_0003.tsv/dialogue/dialogue_0004.tsv/dialogue/dialogue_0020.tsv/dialogue/dialogue_0021.tsv	5	4	legacy	dialogue/dialogue_0001.tsv#124;dialogue/dialogue_0003.tsv#1002;dialogue/dialogue_0004.tsv#1246;dialogue/dialogue_0020.tsv#7841;dialogue/dialogue_0021.tsv#8024	对。 [2次] ||| 好。 [1次] ||| 是啊。 [1次] ||| 嗯。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0001.tsv/dialogue/dialogue_0020.tsv	2	2	legacy	dialogue/dialogue_0001.tsv#188;dialogue/dialogue_0020.tsv#7643	我明白了。 [1次] ||| 原来如此。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#256;dialogue/dialogue_0002.tsv#406	别的孩子里有人嫉妒。\n他们的父母也一样，在我看来真是幼稚得很。\n据说，这个位 [1次] ||| 别的孩子里有人嫉妒。\n他们的父母也一样，在我看来真是幼稚得很。\n据说，这个职 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	legacy	dialogue/dialogue_0001.tsv#278;dialogue/dialogue_0002.tsv#415	嗯…… [1次] ||| 唔…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#285;dialogue/dialogue_0002.tsv#422	哦，我是来自马泽奥的雇佣兵。\n其实是有人雇我来把你们带回去。\n那里要举行一场 [1次] ||| 哦，我是来自马泽奥的雇佣兵。\n其实是有人雇我来把你们带回去。\n那里要开一场峰 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#286;dialogue/dialogue_0002.tsv#423	它基本算是阿莱斯蒂亚的中心枢纽。\n那里的港口通往已知世界的各个角落。\n一座巨 [1次] ||| 它基本就是阿莱斯蒂亚的中枢之地。\n那里的港口通往已知世界的各个角落。\n一座巨 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#293;dialogue/dialogue_0002.tsv#430	其实，我来自阿拉林西亚。\n差不多一出生手里就攥着剑。\n当然，这只是打个比方。 [1次] ||| 其实，我来自阿拉林西亚。\n差不多一出生手里就攥着剑。\n当然，这只是打个比方。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#295;dialogue/dialogue_0002.tsv#432	跟你想的完全不同。\n我们看重的是力量，而非血统或对王位的继承之权。\n或者说， [1次] ||| 跟你想的完全不同。\n我们看重力量，而非血脉或问鼎王位之权。\n或者说，我想{i [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#311;dialogue/dialogue_0002.tsv#448	阿拉林西亚相当遥远。\n乘船少说也要好几天。\n那里的气候大不相同，我简直无法形 [1次] ||| 阿拉林西亚相当遥远。\n乘船也轻易要花上几天。\n那里的气候大不相同，我简直无法 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#312;dialogue/dialogue_0002.tsv#449	只是，别穿得一层又一层。\n尽量少穿点衣服。\n否则准会热成一滩水。 [1次] ||| 只是，别穿得一层又一层。\n尽量少穿点衣服。\n准会热得化成一滩水。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#325;dialogue/dialogue_0002.tsv#462	嗯，你们身处森林中央。\n你们知道人们怎么说大自然与灵力。\n世界其他地方早已砍 [1次] ||| 嗯，你们身处森林中央。\n你们知道人们怎么说大自然与灵性力量。\n其余世界遭砍伐 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0001.tsv/dialogue/dialogue_0002.tsv	2	2	changed	dialogue/dialogue_0001.tsv#331;dialogue/dialogue_0002.tsv#494	这么说迈勒斯{i}确实{/i}在和反抗军合作！\n看来，他还窝藏了一把剑……？\ [1次] ||| 这么说迈勒斯{i}确实{/i}在和反抗军合作！\n据说，他还窝藏了一把剑……？\ [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0002.tsv/dialogue/dialogue_0021.tsv	2	2	legacy	dialogue/dialogue_0002.tsv#566;dialogue/dialogue_0021.tsv#8069	唔……？ [1次] ||| 嗯……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0003.tsv/dialogue/dialogue_0007.tsv	3	2	changed	dialogue/dialogue_0003.tsv#935;dialogue/dialogue_0003.tsv#968;dialogue/dialogue_0007.tsv#2415	谢谢你……\n我要是想到什么，会告诉你的。\n这大概需要些时间我才能弄明白。 [2次] ||| 谢谢你……\n我要是想到什么，会告诉你的。\n我大概还需要些时间才能弄明白。 [1次]	今天改过 -> 统一到新版
dialogue/dialogue_0003.tsv/dialogue/dialogue_0017.tsv/dialogue/dialogue_0022.tsv	3	2	legacy	dialogue/dialogue_0003.tsv#1031;dialogue/dialogue_0017.tsv#6784;dialogue/dialogue_0022.tsv#8554	嗯…… [2次] ||| 唔…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0003.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0003.tsv#1168;dialogue/dialogue_0006.tsv#2286	为什么不可能……？ [1次] ||| 为什么不能……？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0003.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0003.tsv#1170;dialogue/dialogue_0006.tsv#2288	那瓦莱莎就不怪了？ [1次] ||| 那瓦莱莎就不古怪吗？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0003.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0003.tsv#1173;dialogue/dialogue_0006.tsv#2291	这怎么可能？ [1次] ||| 你怎么会这样？ [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0003.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0003.tsv#1175;dialogue/dialogue_0006.tsv#2293	所以你是个“高手”…… [1次] ||| 所以你就是个专业高手…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0004.tsv/dialogue/dialogue_0006.tsv	2	2	legacy	dialogue/dialogue_0004.tsv#1261;dialogue/dialogue_0006.tsv#2271	老天啊…… [1次] ||| 哦天哪…… [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0005.tsv/dialogue/dialogue_0010.tsv/dialogue/dialogue_0014.tsv/dialogue/dialogue_0016.tsv	6	2	legacy	dialogue/dialogue_0005.tsv#1609;dialogue/dialogue_0010.tsv#3789;dialogue/dialogue_0010.tsv#3933;dialogue/dialogue_0014.tsv#5412;dialogue/dialogue_0014.tsv#5520;dialogue/dialogue_0016.tsv#6350	我点点头。 [5次] ||| 我点了点头。 [1次]	都是旧版 -> 统一到多数派
dialogue/dialogue_0005.tsv/dialogue/dialogue_0006.tsv	2	2	changed	dialogue/dialogue_0005.tsv#1838;dialogue/dialogue_0006.tsv#2307	马泽奥有图书馆吗？\n就是，能查阅关于灵体的资料的地方？\n我有些东西想查一查。 [1次] ||| 马泽奥有图书馆吗？\n就是，能查阅关于灵的资料的地方？\n我有些东西想查一查。 [1次]	今天改过 -> 统一到新版
