# dialogue chunk 0007  entries 2401-2800 of 10370
# seq	block	idx	speaker	source	target
2401	click_map127_12_EV012_4ee7740e	0	char_mylus	You are not my Father.	你不是我的父亲。
2402	click_map127_12_EV012_81bb5a5d	0	char_howl	Do you say this to inform us, or to console {i}yourself{/i}?	你说这话，是为了告知我们，还是为了安慰{i}你自己{/i}？
2403	click_map127_12_EV012_344d6606	0	char_mylus	Huh...?	嗯……？
2404	click_map127_12_EV012_f0888075	0	char_howl	This question was self explanatory.	这个问题不言自明。
2405	click_map127_12_EV012_fb1d46aa	0	char_mylus	It's just — I should be mad at you. Furious.\nYou defile the memory and likeness of my Father.	只是——我本该对你发火。暴怒。\n你在玷污我父亲的记忆与形象。
2406	click_map127_12_EV012_e76bc392	0	char_howl	Do we...?\nIt seems that \"Salus\" was an honorable man.\nAre we not carrying out his final wishes?	我们吗……？\n看来“萨鲁斯”是个可敬的人。\n我们不是在完成他最后的遗愿吗？
2407	click_map127_12_EV012_566115b7	0	char_mylus	What?	什么？
2408	click_map127_12_EV012_b0885992	0	char_howl	The freedom of Alestia. The destruction of The Triumvirate.\nWhen you look at it that way, it seems as if we defile nothing	阿拉斯提亚的自由。三人执政团的覆灭。\n这么一看，我们似乎什么也没有玷污
2409	click_map127_12_EV012_1b728418	0	char_mylus	I... I don't know.	我……我不知道。
2410	click_map127_12_EV012_7a436d22	0	char_howl	What are you wishing to know?	你想知道什么？
2411	click_map127_12_EV012_30e2f090	0	char_mylus	I want to know how I should feel right now!\nThis is just so bizarre — I have no idea what to do.\nBack in Valinorth, things were so simple, and easy.	我想知道我现在该有什么感觉！\n这太离奇了——我完全不知道该怎么办。\n在瓦利诺斯的时候，一切都那么简单、轻松。
2412	click_map127_12_EV012_ee99b51e	0	char_howl	Why must you do anything?\nYou could mull over this development for years, you know.\nAt the end of the day, you should do something more useful.	你为什么非得做什么呢？\n你知道，你大可把这件事琢磨上好几年。\n说到底，你应该去做些更有用的事。
2413	click_map127_12_EV012_6758af8e	0	char_mylus	Like what?	比如什么？
2414	click_map127_12_EV012_2649fa4c	0	char_howl	This is not for us to decide.\nBut have no worries, we will take care of this body.\nAnd using it, we will do everything we can to honor your Father.	这不是我们能决定的。\n但别担心，我们会照看好这具身体。\n并利用它，竭尽所能地荣耀你的父亲。
2415	click_map127_12_EV012_5a0af2c0	0	char_mylus	Thank you...\nI'll let you know if I think of anything.\nThis might take a while for me to understand.	谢谢……\n如果我想到了什么，会告诉你的。\n我可能需要一段时间才能理解这件事。
2416	click_map127_12_EV012_dec22d64	0	char_howl	Very well, but please remember this.\nLack of understanding is not a fault. In fact, it can be a strength.\nYou flourished even though you did not know the truth of the spirits.	很好，但请记住这一点。\n不理解并不是过错。事实上，它也可以是一种力量。\n即便你不知道灵的真相，你依然茁壮成长。
2417	click_map127_12_EV012_9dfbc127	0	char_mylus	You're right...\nI think I need some time alone.\nI'll be down in the crew quarters, Howl.	你说得对……\n我想我需要一个人静一静。\n我会待在下面的船员舱，豪尔。
2418	click_map127_14_EV014_a5c727d4	0	char_damek	I need to thank you again, Pommy.\nYour support means a lot to me. It truly does.\nSome of the rebels have started to side with Howl.	我得再次感谢你，波米。\n你的支持对我意义重大。真的。\n有些反抗军成员已经开始站到豪尔那边了。
2419	click_map127_14_EV014_cfb4c849	0	char_jit_map127_14_1_19	A pretty dumb decision, if you ask me.\nI know what they're thinking — that {i}you're{/i} responsible.\nBut that's impossible. Nobody could've seen what was coming.	要我说，这决定可真够蠢的。\n我知道他们在想什么——觉得{i}你{/i}该负责。\n但那不可能。没人能预见会发生什么。
2420	click_map127_14_EV014_2e8de2f2	0	char_damek	Yeah, we were played. Caught off guard.\nI know it won't happen again, though. Things are different.\nIt's almost like our belief in the spirit realm was holding us back.	是啊，我们被算计了。措手不及。\n不过我知道这种事不会再发生了。情况不一样了。\n就好像我们对灵界的信仰一直在拖我们的后腿。
2421	click_map127_14_EV014_49038e6b	0	char_damek	Do you think the people will even believe us, though?\nI mean, do {i}you{/i} even believe the truth we've been told?	可你觉得民众会相信我们吗？\n我是说，{i}你{/i}自己相信我们听到的真相吗？
2422	click_map127_14_EV014_bd093880	0	char_jit_map127_14_1_19	I don't really have a choice, Damek.\nYour speech gave us proof. It was undeniable.\nI'd advise doing the same thing to every other Alestian.	我其实没有选择，达梅克。\n你的演讲给了我们证据。无可辩驳。\n我建议对每一个阿拉斯提亚人都这么做。
2423	click_map127_14_EV014_3d22fb41	0	char_jit_map127_14_1_19	Even if it takes years, you can do it.\nI'll even help you if you need assistance.\nNobody said that things would be easy after the war.	就算要花上数年，你也能做到。\n如果你需要帮忙，我甚至会帮你。\n没人说过战后一切会轻松。
2424	click_map127_14_EV014_cd0ed234	0	char_damek	You're right, and thanks for that offer. \nI'm pretty sure I'll take you up on it — since this is a tall order.\nBut I know that almost {i}anything{/i} is possible, if we all band together.	你说得对，谢谢你的提议。\n我很确定我会接受——毕竟这是件难办的差事。\n但我知道，只要我们团结一心，几乎{i}任何事{/i}都可能。
2425	click_map127_14_EV014_87fbd2fc	0	char_jit_map127_14_1_19	Of course. So for now, we need to fix the discord in our ranks.\nI'll talk with the rebels that are siding with Howl. They need to stop.\nThere {i}are{/i} no sides in this. We all fight for the same cause.	当然。所以眼下，我们得解决队伍内部的分歧。\n我会去和那些支持豪尔的反抗军成员谈谈。他们必须停下。\n这件事{i}没有{/i}派系之分。我们都在为同一个目标而战。
2426	click_map127_14_EV014_d292144f	0	char_jit_map127_14_1_19	And if they put their differences aside?\nWell, Damek? We'll win this thing for sure.	要是他们能放下分歧呢？\n怎么样，达梅克？那我们肯定能赢下这场仗。
2427	click_map127_16_EV016_4755bfa2	0	char_ulric	Hey Pro, can I talk to you for a second?	嘿，普洛，我能跟你聊两句吗？
2428	click_map127_16_EV016_04a7435d	0	char_pro	Of course! What's up?	当然！怎么了？
2429	click_map127_16_EV016_863e34b7	0	char_ulric	I can't say in front of everybody else.\nI need to talk to you alone. In {i}secret{/i}.	我不能当着大家的面说。\n我需要单独跟你谈。{i}秘密{/i}地谈。
2430	click_map127_16_EV016_74be89c6	0	char_pro	Oh, is it about {i}that{/i}?	哦，是关于{i}那件事{/i}吗？
2431	click_map127_16_EV016_b10b9eba	0	char_ulric	Pro. Not in front of anybody else.\nFollow me over here, and talk quietly.	普洛。别当着别人的面。\n跟我到这边来，小声说。
2432	click_map127_16_EV016_4a1d8994	0	char_pro	Right, right. Sorry.\nWell then, what's up?	好，好。抱歉。\n那么，怎么了？
2433	click_map127_19_EV019_3f7e3c35	0	char_fortaime	So, what's it like to be a Seer...?\nWhat kind of stuff are you starting to see?\nDoes it hurt your head? Are you enjoying it...?	那么，当先知是什么感觉……？\n你开始看到什么样的东西了？\n会头疼吗？你享受这种感觉吗……？
2434	click_map127_19_EV019_d9fb5a3c	0	char_jit_map127_19_1_19	It gives me great pleasure to see the future.\nBut right now, it's just little things. Indecipherable.\nPerhaps as we process this, things will get more clear.	能预见未来让我非常愉悦。\n但眼下，只是些琐碎的东西。难以解读。\n也许随着我们慢慢消化，一切会变得更清晰。
2435	click_map127_19_EV019_7acc3120	0	char_jit_map127_19_1_28	I see loss in the future. Loss, and tragedy.\nBut for which side of this battle, I cannot say.\nIt seems to be a \"gut feeling\", at the moment.	我在未来看到了失去。失去，还有悲剧。\n但属于这场战斗的哪一方，我说不上来。\n目前，这似乎只是一种“直觉”。
2436	click_map127_19_EV019_90dc44ac	0	char_jit_map127_19_1_37	Yeah, it's the same for me. Brief flashes.\nBut I see a coliseum, and a big struggle.\nI think you'll all be fighting during your visit.	是啊，我也是这样。短暂的闪现。\n但我看到了一座竞技场，还有一场激烈的厮杀。\n我想你们这次到访期间都会参战。
2437	click_map127_19_EV019_67fbcab3	0	char_fortaime	Fighting...? That's no fun.\nHopefully your powers get better over time.\nImagine how strong you'd be in those battles...!	参战……？那可不好玩。\n希望你的力量能随着时间变强。\n想象一下你在那些战斗里会有多强……！
2438	click_map127_19_EV019_06a78c13	0	char_fortaime	Able to see every move before the enemy even makes it.\nWith that power, we'd never have to worry about tragedy or loss.\nI can tell you're going to be one of the best assets in this war.	能在敌人出手之前就看穿每一个动作。\n有了那种力量，我们就永远不必担心悲剧和失去。\n我敢说你会成为这场战争中最宝贵的战力之一。
