# dialogue chunk 0004  entries 1201-1600 of 10370
# seq	block	idx	speaker	source	target
1201	map061_febeefe8	0	char_jit_map061_1_0_13	Damek, may I speak with you?	达梅克，我能和你说句话吗？
1202	map061_323d3d7f	0	char_damek	Oh, of course. \nIs everything okay...?	哦，当然。\n一切都还好吗……？
1203	map061_dd370ed7	0	char_jit_map061_1_0_13	I believe you've been waiting for this?	我想你一直在等这个吧？
1204	map061_44b28de0	0		He hands Damek the piece of paper in his grip.{w}\nSoon after, he returns to scribbling in his ledger.	他把手里攥着的那张纸递给达梅克。{w}\n随即便继续在账本上写写画画。
1205	map061_88a81ece	0	char_damek	Secure a naval army...?\nThat's a lot bigger than our initial plans.	组建一支海军……？\n这可比我们最初的计划大得多。
1206	map061_6f17b53e	0	char_jit_map061_1_0_13	Is it an unwelcome change?	这变化不受欢迎吗？
1207	map061_0a2e4413	0		Spice stands waiting, ready to record Damek's response.	斯派斯站在一旁等待，准备记录下达梅克的回答。
1208	map061_556ad0f1	0	char_damek	No, not at all.\nWe were just planning to steal The Triumvirate's ships.\nWhile they were busy with Valinorth, they'd be unmanned.	不，完全不会。\n我们原本只打算偷三人执政团的船。\n趁他们忙于瓦利诺斯的时候，那些船无人看守。
1209	map061_e2806c55	0	char_damek	But this...?\nIt could grow our forces exponentially.\nEspecially if the pirates lend us their army.	但这个……？\n它能让我们的兵力成倍增长。\n尤其是如果海盗愿意借兵给我们。
1210	map061_9e0dde0c	0	char_jit_map061_1_0_13	Not for free, of course.\nThey'll probably rob Gryz blind in exchange.\nI recommend not offering them any of our resources.	当然不是白帮忙。\n作为交换，他们大概会把格瑞兹榨得一滴不剩。\n我建议不要拿我们的任何资源去换。
1211	map061_99188ed5	0	char_jit_map061_1_0_13	We barely have enough food for our own men.\nAnd weapons for that matter. We need more of those.\nDo you think you could spin negotiations in our favor?	我们自己人连口粮都勉强够用。\n武器也一样，我们需要更多。\n你觉得你能把谈判引向对我们有利的方向吗？
1212	map061_7c1f4c8e	0	char_damek	Of course I can.\nI'm nothing if not a good negotiator.\nIt seems like everything is in our favor.	那当然。\n别的不敢说，我绝对是个谈判高手。\n看起来一切都在朝对我们有利的方向发展。
1213	map061_8214565d	0	char_jit_map061_1_0_13	This final clause, however...	不过，最后这一条……
1214	map061_bc8bedf1	0	char_damek	The one requesting The Seer's presence?\nPay it no mind, they should be arriving here shortly.\nIn fact — I'll go meet them in the town square right away.	要求先知到场的那条？\n别在意，他们应该很快就会到。\n其实——我这就去城广场接他们。
1215	map061_1b5d0c5f	0	char_damek	The one requesting The Seeress' presence?\nPay it no mind, they should be arriving here shortly.\nIn fact — I'll go meet them in the town square right away.	要求先知到场的那条？\n别在意，他们应该很快就会到。\n其实——我这就去城广场接他们。
1216	map061_8f23af37	0	char_jit_map061_1_0_13	Is their Exodus training regiment finalized?\nYour schedule should be able to accommodate changes.\nYour plan is still slow exposure to develop a tolerance, yes?	他们的流亡训练计划定下来了吗？\n你的日程应该还能调整。\n你的方案还是逐步接触、培养耐受，对吧？
1217	map061_9071ccbf	0	char_damek	Yeah, that's the best way to do it.\nI could only handle it for a mere moment.\nBut I feel stronger — like I could handle more.	是啊，这是最好的办法。\n我只能撑住短短一瞬。\n但我感觉自己变强了——好像能撑得更久。
1218	map061_eb0ffdf5	0	char_damek	Of course, I'm not going to touch it again.\nI'm just assuming the same rules apply to The Seer.\nWith controlled exposure, they could wield it longer and longer.	当然，我不会再去碰它了。\n我只是假设同样的规则也适用于先知。\n通过有控制的接触，他们能使用得越来越久。
1219	map061_7eedb94f	0	char_damek	Of course, I'm not going to touch it again.\nI'm just assuming the same rules apply to The Seeress.\nWith controlled exposure, they could wield it longer and longer.	当然，我不会再去碰它了。\n我只是假设同样的规则也适用于先知。\n通过有控制的接触，他们能使用得越来越久。
1220	map061_62041121	0	char_damek	Long enough to aid our final assault on Balteus.	久到足以协助我们对巴尔泰乌斯的最后一击。
1221	map053_d7f5ae79	0		As we take our first steps away from Valinorth, I make note of my surroundings.{w}\nNot much has changed, yet in my heart, I can feel an indescribable difference.{w}\nCrimson leaves litter the ground, remnants of the earlier spectacle.	当我们迈出离开瓦利诺斯的第一步时，我留意着四周。{w}\n景物没有太大变化，可我心里却能感到一种难以言说的不同。{w}\n绯红的落叶铺满地面，是方才那场奇景的残迹。
1222	map053_0ad8842b	0	char_pro	They look pretty cool, huh?	它们看起来挺酷的吧？
1223	map053_b9915162	0	char_ulric	It was definitely a nice send-off.\nI just hope the Mazeans aren't afraid.	这场送行确实不错。\n我只希望马泽奥人不会害怕。
1224	map053_7fce53f0	0	char_pro	Why would they be afraid...?	他们为什么会害怕……？
1225	map053_3f9d4790	0	char_pro	Really...? But they're just leaves.	真的吗……？可它们只是叶子啊。
1226	map053_7f184674	0	char_ulric	You know how superstitious people can be.	你知道人有多迷信。
1227	map053_52163914	0	char_ulric	Well, the rest of Alestia sees them as an ill omen.	唉，阿莱斯蒂亚其他地方的人都把它们当成凶兆。
1228	map053_61479822	0	char_pro	But they're just leaves...	可它们只是叶子啊……
1229	map053_41631593	0	char_ulric	Well, you know how superstitious people can be.	唉，你知道人有多迷信。
1230	map053_6930e541	0	char_valessa	I was taught that they're tears from the spirit realm.\nYou know, the spirits crying out. But I don't know {i}why{/i}.\nPerhaps our parents were reaching out to us...?	我听说它们是灵界流下的眼泪。\n就是灵在哭喊。可我不知道{i}为什么{/i}。\n也许是我们父母在试着联系我们……？
1231	map053_d8bfe36a	0	char_ulric	Case in point, Pro.	这就是活生生的例子，普洛。
1232	map053_1f4e1bbd	0	char_pro	Fair enough.\nAnyway, there was something I had to say.\nDon't you think it's a little odd to walk around like that...?	说得也是。\n总之，我有件事得说。\n你不觉得就那样到处走有点奇怪吗……？
1233	map053_0f1465d6	0	char_pro	Excuse me!? That's not what I meant!\nI'm talking about that huge blade you have on your back!\nThe Triumvirate might have eyes in Mazeo. We need to cover it up.	什么！？我不是那个意思！\n我说的是你背上的那把巨刃！\n三人执政团在马泽奥可能有眼线。我们得把它遮起来。
1234	map053_437206a6	0	char_pro	Actually, that's kind of what I had in mind.\nI don't think you should walk around with that Blade out in the open.\nLet's cover it up, alright? There might be spies in Mazeo.	其实，我正有此意。\n我觉得你不该把那把刃明晃晃地背在身上到处走。\n我们把它遮起来，好吗？马泽奥可能有间谍。
1235	map053_84f48f7c	0	char_pro	What!? No! That's not what I meant at all.\nI'm talking about The Blade of Exodus, you know.\nWe need to cover it up so nobody sees it.	什么！？不！我完全不是那个意思。\n我说的是流亡之刃，你懂的。\n我们得把它遮起来，别让人看见。
1236	map053_729f93ea	0	char_pro	Yeesh, I'm just trying to help you out!\nIn Mazeo, there's eyes and ears everywhere. Spies, even.\nWe can't have you walk around with that blade so openly.	啧，我只是想帮你而已！\n在马泽奥，到处都是眼睛和耳朵，甚至还有间谍。\n我们不能让你就这么明晃晃地背着那把刃到处走。
1237	map053_53304f95	0	char_pro	That huge blade you have on your back...?\nYou know, the one The Triumvirate will want to steal?\nI think we should cover it up. It's too open right now.	你背上的那把巨刃……？\n就是三人执政团想抢走的那把？\n我觉得我们该把它遮起来。现在太显眼了。
1238	map053_53e4d998	0	char_ulric	That's actually a good idea.\nWe don't know how many eyes will be on us.\nIt might help us get past the gate guard, as well.	这主意其实不错。\n我们不知道会有多少双眼睛盯着我们。\n它也许还能帮我们过城门守卫那一关。
1239	map053_26f203be	0	char_pro	Yeah, they wouldn't take kindly to seeing that.\nThey're skeptical enough of travellers from Valinorth.	是啊，他们看到那玩意儿可不会高兴。\n他们对瓦利诺斯来的旅人本来就够戒备的了。
1240	map053_43cd6f3b	0	char_fortaime	What!? But we wouldn't do anything!	什么！？可我们又不会做什么！
1241	map053_84244627	0	char_pro	That's exactly the point.	问题就出在这儿。
1242	map053_95e7269d	0	char_ulric	People from Valinorth would never harm Mazeo, true.\nBut that's what makes it the perfect excuse for wrongdoers.\nSay you're from Valinorth, and get through without a second thought.	瓦利诺斯的人确实绝不会伤害马泽奥。\n但正因如此，它才成了坏人最完美的借口。\n说一句你来自瓦利诺斯，就能毫无阻碍地通过。
1243	map053_1a000fde	0	char_fortaime	That's awful!	太可恶了！
1244	map053_6fc18a5d	0	char_pro	Yeah. Unfortunately they're keen on that trick.\nThey'll end up questioning us no matter what we say.	是啊。可惜他们对这套把戏很在行。\n不管我们怎么说，最后都会被盘问。
1245	map053_98647573	0	char_valessa	So we need to cover up the blade...	所以我们需要把刃遮起来……
1246	map053_92ce701f	0	char_ulric	Yeah.	嗯。
1247	map053_b21ee89f	0	char_valessa	I guess it's a good thing I brought this, then.	那我带了这东西来，算是件好事。
1248	map053_f1350b14	0		She holds up the cloth that was wrapping the blade in The Grand Tree.{w}\nIt's large enough that I could wrap it around myself like a cloak.{w}\nI'm positive that they'll ask what's underneath, but it's worth a try.	她举起在巨树里包裹那把刃的布。{w}\n它足够大，我可以像披风一样裹在身上。{w}\n我敢肯定他们会问布下面是什么，但值得一试。
1249	map053_4807941a	0	char_fortaime	What do we do if they don't buy it?	要是他们不上当怎么办？
1250	map053_3d6ec1c7	0	char_pro	Well, I'll play some of my patented charm.	那我就施展一下我那招牌魅力。
1251	map053_e87982eb	0	char_fortaime	We're doomed.	我们完蛋了。
1252	map053_b5f820c3	0		Fortaime and Valessa share a quick laugh, while Pro fumes.{w}\nUlric crosses his arms, and starts to come up with a plan.	福泰姆和瓦莱莎相视一笑，普洛则气得冒烟。{w}\n乌尔里克抱起双臂，开始琢磨对策。
1253	map053_550493e3	0	char_ulric	There's still a long way to go, so let's walk and talk.\nWe're losing time, and that's the one thing we can't afford to lose.	还有很长的路要走，我们边走边说吧。\n我们在浪费时间，而时间恰恰是我们最耗不起的。
1254	map053_04da259d	0		Immediately after, Valessa hands me the cloth from earlier.{w}\nI knew that many people in Mazeo were part of The Rebellion, but not everybody.{w}\nThe Gate Guards must be an example of those not under Damek's thumb. At least yet.	紧接着，瓦莱莎把刚才那块布递给我。{w}\n我知道马泽奥有很多人属于反抗军，但并非所有人。{w}\n城门守卫大概就是不受达梅克掌控的那一类人。至少目前还不是。
1255	map053_0296c154	0	char_fortaime	Alright...	好吧……
1256	map053_c2937740	0		I wrap the cloak around my back, and fashion the top into a hood.{w}\nThe Blade of Exodus, as well as my identity, was sufficiently masked.{w}\nWith the small hope that this facade will work, we continue toward Mazeo.	我把布裹在背上，将上端做成兜帽。{w}\n流亡之刃和我的身份都被很好地遮掩住了。{w}\n怀着这伪装能奏效的一丝希望，我们继续朝马泽奥前进。
1257	click_map054_4_EV004_778a2526	0	char_fortaime	So, about that charm...	那么，关于那个魅力……
1258	click_map054_4_EV004_56dc3ec0	0	char_pro	Yeah?	嗯？
1259	click_map054_4_EV004_16b5ce1a	0	char_fortaime	When are you gonna start turning it on?	你打算什么时候开始施展？
1260	click_map054_4_EV004_e18f2151	0	char_pro	It's... been on this whole time.	它……一直都开着呢。
1261	click_map054_4_EV004_8c5fde0f	0	char_fortaime	Oh boy...	老天啊……
1262	click_map054_4_EV004_1a3146cc	0	char_pro	Hey, what's that supposed to mean?	喂，那是什么意思？
1263	click_map054_4_EV004_d2696c2e	0	char_fortaime	It means you think highly of your own ability.\nAnd if I'm not mistaken, it's a little {i}too{/i} highly.	意思是你把自己的本事看得太高了。\n如果我没说错，是高得有点{i}过头{/i}了。
1264	click_map054_4_EV004_a2633f54	0	char_pro	That's not true!	才不是！
1265	click_map054_4_EV004_722063f9	0	char_fortaime	Oh really? Charm me, then.	哦，是吗？那你来魅惑我试试。
1266	click_map054_4_EV004_161cbf29	0	char_pro	You mean right now...?	你是说现在……？
1267	click_map054_4_EV004_1167df2b	0	char_fortaime	Yeah, right here. Right now.\nShouldn't be too hard for someone like yourself.	对，就这儿，就现在。\n对你这样的人来说应该不难吧。
1268	click_map054_4_EV004_d49c6d66	0	char_pro	Oh, well...\nJust let me think.\nIt takes a bit to \"get in the groove\".	哦，这个……\n让我想想。\n总得花点时间“进入状态”。
1269	click_map054_4_EV004_2a9cd31c	0	char_fortaime	Oh, is that so? Sounds like an excuse to me.	哦，是这样吗？在我看来像是借口。
1270	click_map054_4_EV004_55665003	0	char_pro	It's not!	才不是！
1271	click_map054_4_EV004_8b9c8be5	0	char_fortaime	Alright then, just hurry it up, Pro.\nI'd tell you to take your time, but I don't want to die of old age.	那好吧，快点，普洛。\n我本想让你慢慢来，可我不想等得老死。
1272	click_map054_4_EV004_e823ba10	0	char_pro	Hmph!	哼！
1273	Ulric1_map054_9_0_bf5fce45	0	char_ulric	Hey.	嘿。
1274	Ulric1_map054_9_0_3125113b	0	char_ulric	There's not much to say, that you don't already know.\nIt's a trading hub, providing goods and services to Valinorth and Alarinthia.\nBut there's a large piracy scene, providing the more... \"illicit\" goods and services.	该说的你大概都知道了。\n这里是个贸易枢纽，为瓦利诺斯和阿拉林西亚提供货物与服务。\n不过海盗活动也很猖獗，提供一些更……“见不得光”的货物与服务。
1275	Ulric1_map054_9_0_986c7f86	0	char_ulric	The Occupation was supposed to make things better, but it didn't.\nIt only created more laws to break, and they haven't even cracked down on them.\nThe Mayor has slowly defected to our side, after realizing The Triumvirate's true intent.	占领本该让情况变好，结果却没有。\n它只是凭空多出一堆可以被违反的法律，而他们连这些法律都懒得执行。\n市长在看清三人执政团的真实意图后，已经慢慢倒向我们这边。
1276	Ulric1_map054_9_0_c4048e17	0	char_ulric	They only wanted the Spirit Idol hidden underneath Mazeo. We're sure of it.\nThe introduction of law and order to the city of Mazeo was justification enough for them.\nIf they truly wanted to keep Mazeo in line, they'd be enforcing the laws they put in place.	他们想要的只是藏在马泽奥地下的灵像。我们很确定。\n对马泽奥城引入法律与秩序，对他们来说就是充足的借口。\n如果他们真想管住马泽奥，就该执行自己定下的法律。
1277	Ulric2_map054_9_0_3abc4ba3	0	char_ulric	His name is Gryz, and he's slowly defected to our side.\nHe's a good ally to have, especially with the strings he can pull.\nI doubt our plans would've gotten this far without his assistance.	他叫格瑞兹，已经慢慢倒向我们这边。\n他是个很有用的盟友，尤其是他手里能牵动的那些关系。\n要是没有他的帮助，我们的计划恐怕走不到这一步。
1278	Ulric3_map054_9_0_b446f95c	0	char_ulric	He took part in The Occupation actually, and slowly realized he was wrong.\nSo that would mean he's been in power for a little over twenty years.\nHe was pretty distant at first, but we slowly got more in touch with him.	其实他也参与过占领，后来慢慢意识到自己错了。\n也就是说，他掌权已经有二十多年了。\n起初他对我们很疏远，但我们慢慢和他建立了更多联系。
