chunk	seq	category	指代对象	上文译法	下文/现状译法	建议译文	理由
dialogue_0020.tsv	7645	不一致	The Monarchy	后续 #8041、#8126 等同一专名译作“君主国”	王室。他一定看到了那个震撼我们所有人的真相。	如今既然我知道了灵界的真相，我想我明白他看到的是什么了。{w}\n君主国。他一定看到了那个震撼我们所有人的真相。{w}\n我问他是不是这样，几乎确信自己是对的。随后他证实了。	同一段落先提出 The Monarchy，下一句用“王室”承接，但全范围后文稳定译作“君主国”；指代的是同一文明/政权。
dialogue_0020.tsv	7668	不一致	his Masters，指三人执政团	后续 #8082、#9928、#10338 等译作“主上”	这难道是真的？他是在怀疑他的主人吗……？	我震惊了。他居然说的是实话。{w}\n我在关于三人执政团的幻象里见过这座“灵像”。{w}\n这难道是真的？他是在怀疑他的主上吗……？	同一场景前文已经明确 Masters 即三人执政团，后文统一称“主上”，此处“主人”造成同一称谓漂移。
dialogue_0020.tsv	7671	不一致	The Monarchy	后续 #8041、#8126 等同一专名译作“君主国”	可那些是王室的媒介。	在他们自己的内殿里放一座灵界灵像……？\n可那些是君主国的媒介。\n他们把它留在身边，这完全说不通。	同一专名在同一讨论中应保持一致；后文说明其拥有船舰、与阿拉林西亚并列，显然不是王室血统。
dialogue_0020.tsv	7682	不一致	his Masters，指三人执政团	后续 #8082、#9928、#10338 等译作“主上”	无论发生什么，他都会效忠他的主人。	他被造出来，就是要成为完美的士兵。\n无论发生什么，他都会效忠他的主上。\n我那时候并不知道，那份忠诚比我们的友谊还要牢固。	此处回指前文三人执政团，且后文对同一称谓统一使用“主上”。
dialogue_0020.tsv	7685	不一致	Master，指索维的前任大审判官师父	后续 #9640 将 previous Master 译作“师父”	我前一任主人，前任大审判官，叛逃了。	我猜他们这么做，是为了确保再没有别人会逃走。\n我上一任师父，前任大审判官，叛逃了。\n我信任哈林，{i}也{/i}信任三人执政团。他们全都背叛了我。	在同一 Inquisitor/Apprentice 师承体系内，后文将上一任 Master 稳定译作“师父”，此处应为同一称呼。
dialogue_0020.tsv	7766	不一致	my Masters，指三人执政团	后续 #8082、#9928、#10338 等译作“主上”	他出卖了我，逼得我的主人把我流放。他们抛弃了我。	我叫索维。我是——或者说曾是——大审判官。\n我不再效忠三人执政团了。我被我的学徒背叛了。\n他出卖了我，逼得我的主上把我流放。他们抛弃了我。	同一人物后文对三人执政团统一称“主上”；“主人”是另一套称谓，破坏角色用语一致性。
dialogue_0020.tsv	7868	不一致	Master，哈林称呼索维	后续 #8065、#8074、#9626、#10329 均译作“师父”	主人……？	师父……？	哈林对索维的师徒关系在后文多处以“师父”固定，此处“主人”把关系译成了主仆关系。
dialogue_0020.tsv	7941	不一致	The Monarchy	后续 #8041、#8126 等同一专名译作“君主国”	这是王室{i}每一位{/i}成员的愿望。	痛苦或许强烈，但它驱动着我们的每一个动作。\n我们将用它来杀死三人执政团，听从你的号令。\n这是君主国{i}每一位{/i}成员的愿望。	此处指君主国的成员，不是王室成员；应与后续同一专名统一为“君主国”。
dialogue_0023.tsv	8906	不一致	The Outlook，地名	strings_0001 #174 及 dialogue_0024/0025 多处译作“瞭望台”	这些桥似乎通向观景台。{w}\n严格来说，那是通往阿莱斯蒂亚其他地区的出口。{w}\n一条漫长的山道会把你带到大陆。	这些桥似乎通向瞭望台。{w}\n严格来说，那是通往阿莱斯蒂亚其他地区的出口。{w}\n一条漫长的山道会把你带到大陆。	同一地名前文首次出现用“观景台”，后续同一地点均用“瞭望台”；“瞭望台”也是范围内多数及界面串采用的译法。
dialogue_0023.tsv	8923	不一致	The Outlook，地名	strings_0001 #174 及 dialogue_0024/0025 多处译作“瞭望台”	等你看到观景台就知道了，瓦莱莎！	等你看到瞭望台就知道了，瓦莱莎！	同一地名在后文和界面串中统一为“瞭望台”。
dialogue_0023.tsv	8924	不一致	The Outlook，地名	strings_0001 #174 及 dialogue_0024/0025 多处译作“瞭望台”	观景台……？	瞭望台……？	紧跟上一行的同一地名回指，应与后文统一为“瞭望台”。
dialogue_0025.tsv	9705	不一致	Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	写写先知什么的吧。这是她的旅程的起点。	那你要写我，可真是没素材可写了。\n写写女先知什么的吧。这是她的旅程的起点。	源文明确为女性职衔 Seeress，范围内已建立“女先知”译法。
dialogue_0025.tsv	9732	不一致	The Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	主上，您和先知会过面了吗？	看来一切终于开始了。\n主上，您和女先知会过面了吗？	此变体专用于女性主角，源文使用 Seeress；同范围内的正确译法为“女先知”。
dialogue_0025.tsv	9741	不一致	The Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	我想这取决于先知。	我想这取决于女先知。\n我们就看着吧，看事情如何发展。	同一支线紧接 #9740 的男性 Seer 变体，#9741 明确是女性职衔变体，应保留“女”。
dialogue_0025.tsv	9978	不一致	Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	你不是普通意义上的先知，你很特别。	其实你一直都有信念。\n但我想我明白你的意思。\n你不是普通意义上的女先知，你很特别。	源文为性别变体 Seeress，且其并行男性变体 #9977 用 Seer；中文应沿用已建立的“女先知”。
dialogue_0026.tsv	10029	不一致	the Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	我点点头。身为先知，他们不会在意我带着什么。{w}\n但我也能理解，若是他们看到外人拿着这把剑会作何感想。{w}\n迈勒斯利用扎米拉的计划，无疑是最佳之策。	我点点头。身为女先知，他们不会在意我带着什么。{w}\n但我也能理解，若是他们看到外人拿着这把剑会作何感想。{w}\n迈勒斯利用扎米拉的计划，无疑是最佳之策。	该行属于女性主角专属变体，紧邻的男性变体 #10028 使用 Seer；已确立的女性职衔译文应一致。
dialogue_0026.tsv	10064	不一致	the Seeress of Valinorth	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	但我是瓦利诺斯的先知。这把剑本就该由我来执掌。	他这话说得不太中听，但也不无道理。{w}\n上次之所以那么震惊，是因为我毫无防备。{w}\n但我是瓦利诺斯的女先知。这把剑本就该由我来执掌。	源文明确使用 Seeress，且并行男性变体 #10063 使用 Seer；此处应保留性别职衔。
dialogue_0026.tsv	10182	不一致	the last Seeress	strings_0001 #1、dialogue_0023 #8896/#8909 译作“女先知”	[firstname]。你是我们最后一个先知了。	我也希望如此，福泰姆。\n这话说出来让我心痛，但它是真的。\n[firstname]。你是我们最后一个女先知了。	该行是女性主角专属变体，紧邻的男性变体 #10181 使用 Seer；应一致使用“女先知”。
strings_0001.tsv	139	不一致	What should I do...?	dialogue_0022 #8437 同一句译作“我该怎么办……？”	我该怎么做……？	我该怎么办……？	同一句主角抉择提示出现两次，后文及字符串 #462 均采用“我该怎么办”，应统一。
strings_0003.tsv	807	不一致	What can you tell me about X?	同范围 #112、#113、#114 等 18 处统一为“关于X，你能告诉我些什么？”	{image=icons/651.png} “能跟我讲讲佩雷格里诺吗？”	{image=icons/651.png} “关于佩雷格里诺，你能告诉我些什么？”	同一提问模板在同一界面中必须使用同一句法；这两项是唯一的例外。
strings_0003.tsv	808	不一致	What can you tell me about X?	同范围 #112、#113、#114 等 18 处统一为“关于X，你能告诉我些什么？”	{image=icons/651.png} “能跟我讲讲索尔伯格吗？”	{image=icons/651.png} “关于索尔伯格，你能告诉我些什么？”	与同组查询选项模板不一致，且无语气或篇幅理由。
strings_0002.tsv	423	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/651.png} “今天我们站在这里，作为正义的先驱。透过我们，该是让王权发声的时候了……”	{image=icons/651.png} “今天我们站在这里，作为正义的先驱。透过我们，该是让君主国发声的时候了……”	The Monarchy 是同一专名；后续说明其曾与阿拉林西亚并列，应统一为“君主国”而非抽象“王权”。
strings_0002.tsv	438	不一致	The Monarchy	后在 dialogue_0021 多处统一译作“君主国”	{image=icons/651.png} “如我们的意志般坚不可摧——我们拥有承载王权之灵的容器。”	{image=icons/651.png} “如我们的意志般坚不可摧——我们拥有承载君主国众灵的容器。”	此处 spirits of The Monarchy 回指同一文明/政体，后续统一译名应为“君主国”。
