# dialogue chunk 0020  entries 7601-8000 of 10370
# seq	block	idx	speaker	source	target
7601	map223_e2c990ba	0	char_pro	After that, all we needed was {i}this{/i}.	在那之后，我们只需要{i}这个{/i}。
7602	map223_d4b4eb68	0		He holds up a dagger. The same one he used from the coliseum.{w}\nStabbing it through his hand, that's when the true nature of the weapon was revealed.{w}\nRather than piercing his hand, the blade sunk into the handle of the dagger. It was a fake.	他举起一把匕首。正是他在竞技场用过的那把。{w}\n他把匕首刺向自己的手，武器的真实本质才显露出来。{w}\n刀刃没有刺穿他的手，而是缩进了匕首的握柄里。那是把假匕首。
7603	map223_cf41dd57	0	char_pro	Along with some chaos, and acting, they'd believe the battle was over.\nThe chaos, of course, was the moment [firstname] used the blade.\nWe pushed you toward using it, so we could have our opportunity.	再加上一些混乱和演技，他们便会相信战斗已经结束。\n那场混乱，当然就是[firstname]使用刀刃的那一刻。\n我们推着你使用它，为的就是给自己创造机会。
7604	map223_b74bf324	0	char_ulric	That's really all there is to it.\nNone of you could know until it was already over.\nIf information was leaked, everything would be for nothing.	事情其实就是这么简单。\n在一切结束之前，你们谁都不能知道。\n一旦消息泄露，所有努力都会付诸东流。
7605	map223_e79a89db	0	char_ulric	You're free to come back to Alarinthia, but we might stay behind.\nIt was just in our best interest to get away before they figured things out.\nSo yeah — a new alliance, minimal casualties, and a great story.	你们尽可以自由回到阿拉林西亚，但我们也许会留在后面。\n趁他们还没想明白之前脱身，对我们最有利。\n所以没错——新的同盟，最小的伤亡，还有一段精彩的故事。
7606	map223_9bb1e615	0	char_ulric	I'd say this was an all around success, wouldn't you?	我得说这是一次全面的成功，你不觉得吗？
7607	map223_5dfd9aa1	0	char_pro	Yeah! I can't believe we really pulled it off.\nI think this might just be my masterpiece.	是啊！我真不敢相信我们真的办到了。\n我觉得这说不定就是我的杰作。
7608	map223_378c30ff	0		They wait in silence for our response.{w}\nBut their faces are beaming with pride.	他们沉默地等待着我们的回应。{w}\n但他们的脸上洋溢着自豪。
7609	map223_25514697	0		It seemed like a simple enough plan, but it was definitely risky.{w}\nThe moment we set foot in the coliseum, they were in real danger.{w}\nBut that only shows off their resolve. They were willing to die for this.	这计划看似简单，却绝对冒险。{w}\n我们踏进竞技场的那一刻，他们就身处真正的危险之中。{w}\n但这恰恰彰显了他们的决心。他们愿意为此赴死。
7610	map223_6e633127	0		However, something feels off about this.{w}\nIt's all too perfect, too convenient. I'm not sure.	然而，我总觉得有哪里不对劲。{w}\n一切都太完美，太顺理成章了。我说不准。
7611	map223_82b4b710	0		Ulric was willing to throw everything away...?{w}\nChanging Alarinthia was his dream — he always said so.{w}\nSiding with Pro, and dismissing his chance to do it, was odd.	乌尔里克竟然愿意抛弃一切……？{w}\n改变阿拉林西亚是他的梦想——他一直这么说。{w}\n站在普洛那边，放弃实现梦想的机会，这很奇怪。
7612	map223_1b95abc2	0		There was obviously a chance that I'd side with Vivien, but I didn't.{w}\nI'd have to talk to Ulric about it later. There {i}had{/i} to be more to this story.	显然我有可能会站在薇薇安那边，但我没有。{w}\n我之后得找乌尔里克谈谈。这个故事{i}肯定{/i}还有内情。
7613	map223_14432112	0		Ulric was willing to throw everything away...?{w}\nI mean, I sided with Vivien, but that wasn't a guarantee.{w}\nHad I sided with Draycu, he'd lose his chance to change Alarinthia.	乌尔里克竟然愿意抛弃一切……？{w}\n我是说，我确实站在薇薇安那边，但那并非万无一失。{w}\n要是我站在德雷库那边，他就会失去改变阿拉林西亚的机会。
7614	map223_7a201bb1	0		There {i}had{/i} to be more to this story. Something they're not telling us.{w}\nI'd have to talk to them in private later on. Maybe they could confide in me.	这个故事{i}肯定{/i}还有别的内情。有些事他们没告诉我们。{w}\n我之后得私下跟他们谈谈。也许他们愿意向我吐露。
7615	map223_5d918223	0		But as it stood, I didn't really buy their tale.{w}\nWould they really risk their lives for a foreign alliance?{w}\nMy comrades seem to think so, and they shower them with praise.	但就目前而言，我并不太相信他们的说辞。{w}\n他们真的会为了一纸异国同盟而冒生命危险吗？{w}\n我的同伴们似乎深信不疑，对他们赞不绝口。
7616	map223_156a4d4f	0	char_fortaime	That might be the coolest thing I've ever heard.\nI knew you were a swindler Pro, but this is crazy.\nYou're using your skill to shape Alestia's history.	这也许是我听过最酷的事了。\n我知道你是个骗子，普洛，但这太疯狂了。\n你在用自己的本事改写阿莱斯蒂亚的历史。
7617	map223_76a08bfb	0	char_valessa	And Ulric, I never knew you were so good at acting.\nYou really had me sold there. I almost can't believe it.\nIt felt like something was up, but to think it was {i}this{/i}...?	还有乌尔里克，我从不知道你这么会演戏。\n你真是把我骗得团团转。我几乎不敢相信。\n我感觉有点不对劲，但没想到居然是{i}这个{/i}……？
7618	map223_f6daf6c9	0	char_damek	Almost puts my strategizing to shame, I have to say.\nSo what's the next step...? Is it just smooth sailing, now?\nI imagine our chances of getting caught are pretty low.	不得不说，这几乎让我自愧不如。\n那下一步呢……？现在就一帆风顺了吗？\n我想我们被抓到的几率应该很低。
7619	map223_9934433e	0	char_pro	You should probably tell Draycu what {i}really{/i} went down.\nI doubt he'd mind, and at least he wouldn't find out another way.\nIn the meantime, we need to have a word with our new {i}prisoner{/i}.	你最好告诉德雷库{i}真正{/i}发生了什么。\n我想他不会介意，至少这样他不会从别处得知。\n与此同时，我们得跟我们新的{i}囚犯{/i}谈谈。
7620	map223_b6136129	0	char_pro	You should probably tell Vivien what {i}really{/i} went down.\nI doubt he'd mind, and at least he wouldn't find out another way.\nIn the meantime, we need to have a word with our new {i}prisoner{/i}.	你最好告诉薇薇安{i}真正{/i}发生了什么。\n我想她不会介意，至少这样她不会从别处得知。\n与此同时，我们得跟我们新的{i}囚犯{/i}谈谈。
7621	map223_5f8c5431	0	char_damek	Right. I'll tell him while you do that, then.\nBut I think we've also earned some much needed rest.\nLet's take the day off, and meet back up here in the morning.	好。那你去谈的时候，我来告诉他。\n不过我觉得我们也该好好休息一下了。\n今天休整一天，明早在这里碰头。
7622	map223_f985c7b8	0	char_damek	That is, if it's okay with you, [firstname]?	如果你没意见的话，[firstname]？
7623	map223_67d86896	0		I nod, and tell everybody that they're dismissed.{w}\nEverybody runs off, except for Ulric and Pro.{w}\nThey approach me, and they look anxious.	我点点头，告诉大家可以解散了。{w}\n所有人都跑开了，只有乌尔里克和普洛留下。{w}\n他们向我走来，神情焦虑。
7624	map223_06cc244f	0	char_ulric	Sovy is in the brig, right...?\nI can't believe he surrendered — just like that.	索维在禁闭室里，对吧……？\n我简直不敢相信他就这么投降了——就这样。
7625	map223_ca10d0a3	0	char_pro	And I heard him say something about a mole...?\nLet's go talk with him, [firstname]. You deserve some answers.	我好像听到他说了什么内鬼……？\n我们去跟他谈谈吧，[firstname]。你理应得到答案。
7626	map223_b16e6693	0	char_ulric	Yeah. Let Damek pamper Draycu for the time being.\nBut before we head to the brig, look behind us, [firstname].\nIt's starting to look like an impressive army, isn't it...?	对。暂时让达梅克去讨好德雷库吧。\n但在我们去禁闭室之前，回头看看，[firstname]。\n这阵容开始像一支了不起的军队了，不是吗……？
7627	map223_a750f91d	0	char_ulric	Yeah. Let Damek pamper Vivien for the time being.\nBut before we head to the brig, look behind us, [firstname].\nIt's starting to look like an impressive army, isn't it...?	对。暂时让达梅克去讨好薇薇安吧。\n但在我们去禁闭室之前，回头看看，[firstname]。\n这阵容开始像一支了不起的军队了，不是吗……？
7628	map223_925b6b64	0		I do as instructed, and notice that we're accompanied by at least a dozen ships.{w}\nIf that was the strength of our new Alarinthian army, then I was at a loss for words.{w}\nThat fleet, combined with our own, and my blade, stood a real chance in Balteus.	我依言照做，发现至少有十几艘船与我们同行。{w}\n如果这就是我们新阿拉林西亚军队的实力，那我真是无话可说了。{w}\n那支舰队，加上我们自己的船队，还有我的刀刃，在巴尔泰乌斯确实有一战之力。
7629	map223_20d27556	0		But I couldn't lull myself into a false sense of security. There was still so much to do.{w}\nAnd right now, the next step was having a word with Sovy. Just what was he after...?{w}\nThe fact that Ulric and Pro \"volunteered\" to come along was also pretty peculiar.	但我不能让自己沉溺于虚假的安全感中。还有太多事要做。{w}\n而眼下，下一步就是跟索维谈谈。他究竟想要什么……？{w}\n乌尔里克和普洛“主动”要跟来这件事，也相当蹊跷。
7630	map223_c38b2af6	0		The pieces have started to fall into place, but there's still quite a few gaps.{w}\nMaybe this \"information\" that Sovy promised would help me in some way.{w}\nWe all head down to the brig, and I'm hopeful that I could figure this all out.	拼图开始各归其位，但仍有许多空白。{w}\n也许索维承诺的这个“情报”能以某种方式帮到我。{w}\n我们一起下到禁闭室，我希望能把这一切都弄清楚。
7631	map223_9d904e55	0		After all, I could leave no question unanswered before attacking Balteus.{w}\nAnd resting in our brig was the one man who knew {i}everything{/i} about our enemy.{w}\nIf we could use him for information, then that would be an incredible boon.	毕竟，在进攻巴尔泰乌斯之前，我不能留下任何未解之谜。{w}\n而关在我们禁闭室里的，正是那个对我们敌人{i}无所不知{/i}的人。{w}\n如果我们能从他那里获取情报，那将是莫大的助力。
7632	map223_1055dc79	0		As we enter the brig, one fact plays on repeat in my ever-running mind.	我们走进禁闭室时，一个念头在我永不停歇的脑海中反复回响。
7633	map223_3834232a	0		With everything we just gained? We actually stand a chance at winning this war...	有了我们刚刚得到的一切？我们真的有机会赢得这场战争了……
7634	map224_39a23342	0		The brig is dark, and we can't see much at all.{w}\nThat is, until our eyes adjust, and we immediately see Sovy.{w}\nHe's broken free from his binds, and is doing pull-ups from a ceiling beam.	禁闭室里一片漆黑，我们几乎什么都看不见。{w}\n直到眼睛适应过来，我们立刻看到了索维。{w}\n他挣脱了束缚，正吊在天花板的横梁上做引体向上。
7635	map224_e409f113	0		Grunting with exertion, he lets himself fall to the ground when he notices our entrance.{w}\nTaking a few steps toward us, he's careful not to make any sudden movements.{w}\nPro makes sure the cell door is shut and locked, so he can't escape from us.	他吃力地闷哼着，注意到我们进来后便松手落到地上。{w}\n他朝我们走了几步，小心翼翼地不做出任何突然的动作。{w}\n普洛确认牢房门已关好上锁，这样他就无法从我们手里逃走。
7636	map224_47004a97	0	char_sovy	My, my. I wasn't expecting an entourage.\nShould I be flattered, or concerned for my safety?	哎呀呀。我可没料到会来这么一大群人。\n我该感到受宠若惊，还是该担心自己的安危呢？
7637	map224_c796ee07	0		An obvious attempt at humor, but none of us acknowledge this.{w}\nUlric steps forward, demanding swift answers from our captive.	这明显是想开个玩笑，但我们谁都没理会。{w}\n乌尔里克上前一步，要求我们的俘虏立刻给出答案。
7638	map224_25dbeb72	0	char_ulric	Explain yourself, Sovy.\nI'm seconds away from throwing you overboard.	解释清楚，索维。\n我随时都能把你扔下船。
7639	map224_113ee538	0	char_sovy	Again with the hostility.\nLook, I don't even really know what I'm doing here.\nIt just felt like the right thing to do, given the circumstances.	又是这种敌意。\n听着，我其实都不太清楚自己为什么会在这里。\n只是在那种情况下，这么做感觉是对的。
7640	map224_11cb53db	0	char_ulric	What circumstances...?	什么情况……？
7641	map224_8d630c79	0		Sovy looks at me, and shakes his head dismissively.	索维看了我一眼，不以为然地摇了摇头。
7642	map224_8a3313bd	0	char_sovy	Back when we attacked your HQ in Mazeo?\nMy goal was to kill your friend, and retrieve the blade.\nI failed both objectives, and The Triumvirate punished me.	还记得我们袭击你们在马泽奥的总部那次吗？\n我的目标是杀了你的朋友，取回刀刃。\n我两个目标都失败了，三人执政团因此惩罚了我。
7643	map224_d4795823	0	char_ulric	I see.	原来如此。
7644	map224_58c44918	0		It's true. Sovy did show me mercy during our brief encounter.{w}\nHe had my life in his hands, but he chose to run away instead.{w}\nHe saw something when he touched the blade — I could tell.	这是真的。在那次短暂的交锋中，索维确实对我手下留情了。{w}\n我的命就攥在他手里，可他却选择逃走。{w}\n他触碰刀刃时看到了什么——我能看出来。
7645	map224_b60bc87d	0		And now that I know the truth of the spirit realm, I think I knew what he saw.{w}\nThe Monarchy. He must've seen the same truth that shocked all of us.{w}\nI ask if that's true, almost certain that I'm correct. He then confirms.	如今既然我知道了灵界的真相，我想我明白他看到的是什么了。{w}\n王室。他一定看到了那个震撼我们所有人的真相。{w}\n我问他是不是这样，几乎确信自己是对的。随后他证实了。
7646	map224_a13826ff	0	char_sovy	You are correct. I found out that The Triumvirate was lying to me.\nI let you live, because I wasn't sure of what to do next. I'm still uncertain.\nWhen I got back to Balteus, they punished me by placing me in exile.	你说得对。我发现三人执政团一直在骗我。\n我放你一命，是因为我不确定接下来该怎么做。我至今仍不确定。\n我回到巴尔泰乌斯后，他们把我流放，以此惩罚我。
7647	map224_501a129f	0	char_ulric	You expect us to believe this...?\nSovy, you're nothing but a mindless slave.\nThe Monarch survived because of his strength.	你以为我们会相信这种鬼话……？\n索维，你不过是个没有思想的奴隶。\n君主能活下来，靠的是他的力量。
7648	map224_4415a558	0	char_ulric	You expect us to believe this...?\nSovy, you're nothing but a mindless slave.\nThe Monarch survived because of her strength.	你以为我们会相信这种鬼话……？\n索维，你不过是个没有思想的奴隶。\n君主能活下来，靠的是她的力量。
7649	map224_60ee1011	0		I tell Ulric that Sovy is speaking the truth.{w}\nI explain what happened while we were alone near the idol.	我告诉乌尔里克，索维说的是实话。{w}\n我解释了我们在灵像附近独处时发生的事。
7650	map224_4d34ea5e	0	char_sovy	See, Ulric? You're always so paranoid.\nListen to your friends before making snap judgments.\nI have a lot to say, so you better learn to trust me again.	看到了吗，乌尔里克？你总是这么多疑。\n下结论之前先听听朋友的话。\n我有很多话要说，所以你最好学会重新信任我。
7651	map224_45fc816d	0	char_ulric	Don't count on it.	别指望。
7652	map224_9c433b6e	0		He walks away and stands in a nearby corner.{w}\nSensing an opportunity, Pro enters the conversation.	他走开，站到旁边的角落里。{w}\n普洛察觉到机会，加入了谈话。
7653	map224_fbae2e2f	0	char_pro	So what did you want to tell us...?\nAround here, you need to earn your keep.\nUlric was serious about throwing you overboard.	那你想告诉我们什么……？\n在这里，你得自己挣得立足之地。\n乌尔里克说把你扔下船可不是开玩笑的。
7654	map224_e9c4bfeb	0	char_sovy	Well, this is where it gets complicated.\nI still consider myself a servant to The Triumvirate.\nBut Halin...? Well, I want nothing more than to see him fall.	好吧，事情到这里就复杂了。\n我仍然把自己视为三人执政团的仆人。\n但哈林……？我最大的心愿就是看他倒台。
7655	map224_5c2468c5	0	char_sovy	I'm not here to hurt any of you. Not this time.\nAs you can see, even though I broke out of my binds, I am playing nice.\nRight now, all I can offer is information to aid your attack on Balteus.	我不是来伤害你们任何人的。这次不是。\n如你所见，虽然我挣脱了束缚，但我很守规矩。\n眼下，我能提供的只有协助你们进攻巴尔泰乌斯的情报。
7656	map224_07978947	0	char_pro	And why would you want to help us take down The Triumvirate...?	那你为什么想帮我们扳倒三人执政团……？
7657	map224_6617c667	0	char_sovy	Doing so would involve taking down Halin, as well.\nHe sold me out, and got me into this whole mess.	这么做同时也意味着扳倒哈林。\n是他出卖了我，把我卷进了这摊浑水。
7658	map224_9ed5e9f2	0	char_pro	Okay, and let's say we take down Halin. What then?\nYou'd be reinstated as Inquisitor, and just stab us in the back.	好，那就假设我们扳倒了哈林。然后呢？\n你会官复原职当回审判官，然后反手捅我们一刀。
7659	map224_d3ad618d	0	char_sovy	You speak as if people aren't capable of playing both sides.\nEither way, I don't know. I'd make my choice when the time comes.	你说得好像人就不能两面兼顾似的。\n不管怎样，我不知道。等时机到了我自会做出选择。
7660	map224_950f3b3b	0	char_pro	And what makes you say that so easily...?\nYou've served The Triumvirate for your entire life.	那你怎么能这么轻松地说出这种话……？\n你为三人执政团效力了一辈子。
7661	map224_6a6f17c4	0	char_sovy	No. Not my entire life.\nThey welcomed me with open arms, when I was young, and broken.\nNow here they are, inflicting the same wounds they had promised to heal.	不。不是一辈子。\n在我年幼又破碎的时候，他们张开双臂接纳了我。\n而如今，他们却在制造那些他们曾承诺要治愈的伤口。
7662	map224_8d0b1653	0	char_pro	Is that supposed to make sense to me?	这话我该听懂吗？
7663	map224_8f93337e	0	char_sovy	No, because it barely makes sense to {i}me{/i}.\nNow Pro, will you let me say what I have to say?	不，因为连{i}我{/i}自己都几乎理不清。\n好了普洛，你能让我把要说的话说完吗？
7664	map224_e69cfbe1	0	char_pro	Sure.	行。
